HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY081N,HY100N,HY131N,HY145N,HY170N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HY170G,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH021,HH030,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HX010,HX040,HX050,HX060,HX070,HX080,HX090,HX120,HC010,HC020,HC030,HC040,HC050,HC060,HC070,HC080,HC090,HC100,HC110,HC120,HC130,HC140,HC150,HC160,DB040,NR_ITW
2012,RO,38,2,2012,20,731,709,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,305,0,0,0,NA,0,NA,0,22,0,NA,0,NA,NA,3,NA,2,1,2,3,1,1,1,2,5,0.24,1,NA,2,1,2,2,1,1,1,2,1,NA,94.36,67.23,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,25,1,1,2,1,2,3,3,2,4,2,3,3,3,NA,RO11,RO11-4
2012,RO,48,2,2012,17,2128,322,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,50,0,NA,1756,NA,NA,3,NA,2,2,1,1,1,2,1,2,3,678.21,1,NA,2,2,1,1,4,1,3,2,1,NA,94.36,58.97,NA,3,3,NA,1,1,NA,NA,NA,NA,NA,2,60,1,1,2,1,2,3,4,3,3,4,3,2,3,NA,RO11,RO11-4
2012,RO,63,2,2012,20,3379,3347,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,919,NA,0,NA,0,32,0,NA,0,NA,NA,3,NA,1,1,1,1,1,2,1,2,1,766.67,1,2,2,1,2,2,3,1,2,2,1,NA,35.38,117.95,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,44,1,1,2,1,1,3,3,3,3,3,4,3,3,NA,RO11,RO11-5
2012,RO,75,2,2012,30,1070,1048,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1,0,NA,22,NA,NA,3,NA,1,1,1,1,1,1,1,1,3,0.94,2,NA,2,2,2,2,1,1,3,1,1,NA,82.56,23.59,NA,1,3,NA,1,1,NA,NA,NA,NA,NA,1,40,1,2,2,1,1,3,4,2,3,3,3,4,3,NA,RO11,RO11-4
2012,RO,86,2,2012,19,1269,1236,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,33,0,NA,0,NA,NA,1,NA,2,1,1,1,1,1,1,3,3,766.67,2,NA,2,2,2,2,4,3,2,2,2,NA,306.67,165.13,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,34,1,1,1,1,1,3,3,3,3,3,2,3,3,NA,RO11,RO11-4
2012,RO,94,2,2012,10,2531,2509,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,22,0,NA,0,NA,NA,3,2,2,1,1,1,1,1,1,2,2,707.7,1,NA,2,2,2,2,1,2,3,2,1,NA,471.8,353.85,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,26,1,1,2,1,1,3,2,3,3,3,2,3,3,NA,RO11,RO11-3
2012,RO,115,2,2012,15,2369,2344,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,32,0,0,NA,0,NA,0,26,0,NA,0,NA,NA,3,NA,2,1,1,2,1,3,1,3,2,265.39,2,NA,2,2,2,1,1,1,2,2,2,NA,117.95,82.56,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,42,1,1,1,1,2,3,3,1,3,2,3,3,3,NA,RO11,RO11-3
2012,RO,129,2,2012,30,867,672,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,195,0,NA,0,NA,NA,3,3,2,2,2,1,1,2,1,3,3,501.29,1,NA,2,1,2,2,4,1,2,2,1,NA,70.77,58.97,NA,3,1,NA,1,1,NA,NA,NA,NA,NA,2,23,1,2,2,1,1,3,3,2,4,4,3,3,3,NA,RO11,RO11-3
2012,RO,135,2,2012,22,1132,1107,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,25,0,NA,0,NA,NA,3,NA,1,1,2,1,1,3,1,3,2,442.31,2,NA,2,2,2,2,4,1,2,2,1,NA,129.74,117.95,NA,1,3,NA,1,1,NA,NA,NA,NA,NA,1,16,1,2,1,1,1,3,4,3,3,3,2,3,3,NA,RO11,RO11-5
2012,RO,138,2,2012,25,4965,4405,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,237,0,0,NA,0,NA,0,560,0,NA,0,NA,NA,3,NA,1,2,2,1,1,1,1,3,3,766.67,2,NA,2,2,1,2,4,3,4,2,1,117.95,306.67,165.13,11.79,1,1,NA,1,1,NA,NA,NA,NA,NA,2,75,1,1,1,1,2,3,3,3,3,3,3,3,3,NA,RO11,RO11-3
