HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY030N,HY081N,HY100N,HY131N,HY145N,HY170N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HY170G,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH021,HH030,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HD080,HD100,HD110,HD120,HD140,HD150,HD160,HD170,HD180,HD190,HD200,HD210,HD220,HD240,HX010,HX040,HX050,HX060,HX070,HX080,HX090,HX120,DB040,NR_ITW
2013,RO,41,2,2013,30,2166,2129,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,17,0,NA,20,NA,NA,3,NA,1,1,1,1,1,1,1,1,4,728.81,3,NA,2,1,2,2,1,1,4,1,1,123.34,224.25,100.91,NA,1,1,3,1,1,1,1,1,NA,NA,1,2,NA,3,1,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-1
2013,RO,52,2,2013,15,2452,2372,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,79,0,NA,0,NA,3,2,NA,2,1,1,1,1,1,1,2,3,728.81,1,2,2,2,2,2,4,5,4,2,1,NA,82.97,56.06,NA,3,1,2,1,1,1,1,2,1,NA,3,1,1,3,1,2,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-4
2013,RO,68,2,2013,30,1708,1705,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,2,0,NA,0,NA,NA,3,NA,1,1,1,1,1,1,1,1,2,728.81,2,NA,2,2,2,1,4,1,4,2,1,NA,224.25,100.91,NA,1,1,1,1,1,1,1,2,1,NA,1,1,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-3
2013,RO,81,2,2013,20,0,-6,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,6,0,NA,0,NA,NA,3,3,2,1,1,1,1,3,1,2,4,728.81,2,NA,2,2,2,2,1,1,5,2,1,NA,179.4,11.21,NA,1,3,2,1,1,1,1,1,1,NA,3,1,2,2,1,2,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-3
2013,RO,92,2,2013,20,229,-44,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,273,0,NA,0,NA,NA,3,NA,2,1,2,2,1,1,1,2,1,532.59,1,NA,1,2,2,2,4,1,3,1,1,NA,224.25,123.34,NA,1,1,2,1,1,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-1
2013,RO,101,2,2013,15,3138,2534,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,604,0,NA,0,NA,NA,3,NA,2,1,1,1,1,1,1,2,3,728.81,1,NA,1,2,1,2,1,3,2,2,2,NA,134.55,11.21,NA,1,3,3,1,1,1,2,2,3,NA,3,1,1,1,2,2,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-3
2013,RO,123,2,2013,25,1419,1267,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,13,0,NA,139,NA,NA,3,NA,2,1,1,1,1,2,2,2,2,2.92,2,NA,2,1,2,2,1,1,4,2,1,NA,33.64,78.49,NA,3,1,1,1,3,NA,3,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-4
2013,RO,138,2,2013,15,0,-212,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,212,0,NA,0,NA,3,3,NA,1,1,1,1,1,1,1,1,4,532.59,2,NA,2,2,2,2,4,1,3,2,1,NA,313.95,56.06,NA,3,1,2,NA,1,1,NA,1,1,NA,1,2,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-5
2013,RO,145,2,2013,30,3384,2824,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,56,0,0,NA,0,NA,0,41,0,NA,519,NA,NA,3,3,2,1,2,1,1,1,2,2,2,728.81,2,2,2,2,1,2,1,1,2,2,1,NA,89.7,56.06,NA,1,1,2,2,2,1,1,2,3,NA,3,1,1,1,2,2,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-2
2013,RO,149,2,2013,15,2584,2574,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,50,0,0,NA,0,NA,0,0,0,NA,11,NA,NA,3,NA,2,1,2,1,1,2,2,2,2,84.09,1,NA,2,2,2,2,4,1,4,2,1,NA,67.28,100.91,NA,1,1,2,1,3,1,1,1,1,NA,3,1,1,1,2,2,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-3
2013,RO,158,2,2013,30,0,-5,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,5,0,NA,0,NA,NA,3,NA,2,1,1,1,1,3,1,2,1,728.81,2,NA,2,2,2,2,1,1,2,2,2,NA,112.13,56.06,NA,1,1,2,NA,NA,NA,NA,2,NA,NA,NA,3,1,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-1
2013,RO,168,2,2013,25,3482,3459,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,2,0,NA,21,NA,NA,3,NA,1,1,1,1,1,1,1,3,3,1121.25,2,NA,2,1,1,2,1,2,4,2,1,NA,313.95,280.31,NA,1,1,1,NA,1,1,NA,NA,NA,NA,1,2,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-2
2013,RO,212,2,2013,30,8241,7789,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,452,0,NA,0,NA,NA,3,NA,2,1,1,1,1,3,1,3,2,728.81,1,NA,2,2,2,2,4,1,3,1,1,NA,100.91,287.04,NA,1,1,2,1,3,1,1,1,1,NA,3,2,3,1,2,2,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-4
2013,RO,219,2,2013,18,2081,2060,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,21,0,NA,0,NA,NA,3,NA,1,1,2,1,1,3,1,3,2,762.45,3,NA,2,2,2,2,1,1,3,2,1,NA,33.64,174.92,NA,3,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,1,2,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-4
2013,RO,268,2,2013,35,1135,979,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,156,0,NA,0,NA,NA,1,NA,2,2,2,1,1,3,1,3,2,728.81,1,NA,2,2,2,2,4,1,1,2,2,NA,58.31,123.34,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-2
2013,RO,282,2,2013,25,2263,2262,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA,NA,3,NA,1,1,1,1,1,1,1,3,3,728.81,1,NA,2,2,2,2,1,2,2,2,1,NA,112.13,78.49,NA,1,3,3,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-3
2013,RO,295,2,2013,15,1592,1587,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,48,0,0,NA,0,NA,0,6,0,NA,0,NA,NA,2,3,2,1,1,1,1,1,1,3,5,252.28,1,NA,2,1,2,2,1,1,3,2,1,NA,44.85,56.06,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-5
2013,RO,298,2,2013,15,1497,1493,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,107,0,0,NA,0,NA,0,4,0,NA,0,NA,NA,3,NA,2,2,1,1,1,1,2,3,3,532.59,2,NA,2,2,1,2,4,1,2,2,1,NA,89.7,11.21,NA,1,1,2,1,1,1,1,2,2,NA,3,1,3,2,1,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-1
2013,RO,338,2,2013,28,879,858,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,21,0,NA,0,NA,NA,2,NA,1,1,2,1,1,3,1,1,3,532.59,2,NA,2,2,1,1,2,5,3,1,1,NA,56.06,168.19,NA,1,1,3,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-2
2013,RO,363,2,2013,18,1980,849,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,81,0,NA,1050,NA,NA,2,NA,2,2,2,1,1,1,2,1,2,728.81,1,NA,2,2,2,2,1,5,2,2,1,NA,22.43,82.97,NA,3,3,3,2,2,1,1,2,3,NA,3,1,1,2,NA,3,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-4
2013,RO,421,2,2013,10,2514,2513,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1,0,NA,0,NA,NA,3,NA,2,1,1,1,1,1,1,2,4,644.72,3,NA,2,1,1,1,4,1,3,2,1,NA,56.06,123.34,NA,1,1,2,1,1,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-2
2013,RO,424,2,2013,20,867,567,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,299,0,NA,0,NA,NA,2,NA,2,2,2,1,1,1,3,1,2,420.47,2,1,2,1,2,2,1,1,3,2,1,NA,33.64,40.37,NA,1,3,3,1,2,NA,NA,NA,1,NA,NA,NA,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-3
2013,RO,457,2,2013,15,1216,967,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,249,0,NA,0,NA,NA,3,NA,2,1,1,1,1,1,1,1,4,1121.25,2,NA,2,1,1,2,4,1,3,2,2,NA,269.1,123.34,NA,1,1,3,NA,1,1,1,1,1,NA,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-4
