"","hid","pid","NR_ITW","NR_INTVWR","NR_BLS_SSN","NR_BLS_SSN_SQ","TX_BLS_PTH","FL_BLS_ITM_MDF","TM_BLS_ITM_STRT","TM_BLS_ITM_STRT_chr","MS_BLS_ITM_TM"
"1",1,101,1,"NR_INTVWR_1","SSN_1",1,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-14 15:23:30,"14FÉVR.2026:15:23:30",96
"2",1,101,1,"NR_INTVWR_1","SSN_1",2,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-14 15:25:06,"14FÉVR.2026:15:25:06",109
"3",1,101,1,"NR_INTVWR_1","SSN_1",3,"F_INCOME.HY010",0,2026-02-14 15:26:55,"14FÉVR.2026:15:26:55",81
"4",1,101,1,"NR_INTVWR_1","SSN_1",4,"F_INCOME.HY010",0,2026-02-14 15:28:16,"14FÉVR.2026:15:28:16",84
"5",1,101,1,"NR_INTVWR_1","SSN_1",5,"F_ADMINISTRATION.TX_END",0,2026-02-14 15:29:40,"14FÉVR.2026:15:29:40",100
"6",2,201,2,"NR_INTVWR_2","SSN_2",1,"F_MODULES.CONSENT",0,2026-02-19 13:27:27,"19FÉVR.2026:13:27:27",6
"7",2,201,2,"NR_INTVWR_2","SSN_2",2,"F_MODULES.CONSENT",0,2026-02-19 13:27:33,"19FÉVR.2026:13:27:33",18
"8",2,201,2,"NR_INTVWR_2","SSN_2",3,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-19 13:27:51,"19FÉVR.2026:13:27:51",94
"9",2,201,2,"NR_INTVWR_2","SSN_2",4,"F_MODULES.CONSENT",0,2026-02-19 13:29:25,"19FÉVR.2026:13:29:25",68
"10",2,201,2,"NR_INTVWR_2","SSN_2",5,"F_INCOME.HY020",0,2026-02-19 13:30:33,"19FÉVR.2026:13:30:33",120
"11",3,301,3,"NR_INTVWR_3","SSN_3",1,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-12 14:00:05,"12FÉVR.2026:14:00:05",112
"12",3,301,3,"NR_INTVWR_3","SSN_3",2,"F_INCOME.HY020",0,2026-02-12 14:01:57,"12FÉVR.2026:14:01:57",86
"13",3,301,3,"NR_INTVWR_3","SSN_3",3,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-12 14:03:23,"12FÉVR.2026:14:03:23",49
"14",3,301,3,"NR_INTVWR_3","SSN_3",4,"F_ADMINISTRATION.TX_END",0,2026-02-12 14:04:12,"12FÉVR.2026:14:04:12",53
"15",3,301,3,"NR_INTVWR_3","SSN_3",5,"F_INCOME.HY010",0,2026-02-12 14:05:05,"12FÉVR.2026:14:05:05",8
"16",3,301,3,"NR_INTVWR_3","SSN_3",6,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-12 14:05:13,"12FÉVR.2026:14:05:13",11
"17",3,301,3,"NR_INTVWR_3","SSN_3",7,"F_INCOME.HY020",0,2026-02-12 14:05:24,"12FÉVR.2026:14:05:24",51
"18",3,301,3,"NR_INTVWR_3","SSN_3",8,"F_INCOME.HY010",0,2026-02-12 14:06:15,"12FÉVR.2026:14:06:15",92
"19",3,301,3,"NR_INTVWR_3","SSN_3",9,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-12 14:07:47,"12FÉVR.2026:14:07:47",54
"20",3,301,3,"NR_INTVWR_3","SSN_3",10,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-12 14:08:41,"12FÉVR.2026:14:08:41",61
"21",3,301,3,"NR_INTVWR_3","SSN_3",11,"F_ADMINISTRATION.TX_END",0,2026-02-12 14:09:42,"12FÉVR.2026:14:09:42",79
"22",3,301,3,"NR_INTVWR_3","SSN_3",12,"F_INCOME.HY010",0,2026-02-12 14:11:01,"12FÉVR.2026:14:11:01",110
"23",4,401,4,"NR_INTVWR_4","SSN_4",1,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-16 10:23:31,"16FÉVR.2026:10:23:31",23
"24",4,401,4,"NR_INTVWR_4","SSN_4",2,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-16 10:23:54,"16FÉVR.2026:10:23:54",67
"25",4,401,4,"NR_INTVWR_4","SSN_4",3,"F_MODULES.CONSENT",0,2026-02-16 10:25:01,"16FÉVR.2026:10:25:01",75
"26",4,401,4,"NR_INTVWR_4","SSN_4",4,"F_MODULES.CONSENT",0,2026-02-16 10:26:16,"16FÉVR.2026:10:26:16",110
"27",5,501,5,"NR_INTVWR_5","SSN_5",1,"F_INCOME.HY010",0,2026-02-18 08:41:18,"18FÉVR.2026:08:41:18",71
"28",5,501,5,"NR_INTVWR_5","SSN_5",2,"F_MODULES.CONSENT",0,2026-02-18 08:42:29,"18FÉVR.2026:08:42:29",116
"29",5,501,5,"NR_INTVWR_5","SSN_5",3,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-18 08:44:25,"18FÉVR.2026:08:44:25",101
"30",5,501,5,"NR_INTVWR_5","SSN_5",4,"F_ADMINISTRATION.TX_END",0,2026-02-18 08:46:06,"18FÉVR.2026:08:46:06",86
"31",5,501,5,"NR_INTVWR_5","SSN_5",5,"F_ADMINISTRATION.TX_END",0,2026-02-18 08:47:32,"18FÉVR.2026:08:47:32",10
"32",5,501,5,"NR_INTVWR_5","SSN_5",6,"F_INCOME.HY010",0,2026-02-18 08:47:42,"18FÉVR.2026:08:47:42",35
"33",5,501,5,"NR_INTVWR_5","SSN_5",7,"F_MODULES.CONSENT",0,2026-02-18 08:48:17,"18FÉVR.2026:08:48:17",53
"34",5,501,5,"NR_INTVWR_5","SSN_5",8,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-18 08:49:10,"18FÉVR.2026:08:49:10",65
"35",6,601,6,"NR_INTVWR_6","SSN_6",1,"F_ADMINISTRATION.TX_END",0,2026-02-19 16:07:56,"19FÉVR.2026:16:07:56",20
"36",6,601,6,"NR_INTVWR_6","SSN_6",2,"F_INCOME.HY010",0,2026-02-19 16:08:16,"19FÉVR.2026:16:08:16",9
"37",6,601,6,"NR_INTVWR_6","SSN_6",3,"F_ADMINISTRATION.TX_END",0,2026-02-19 16:08:25,"19FÉVR.2026:16:08:25",116
"38",6,601,6,"NR_INTVWR_6","SSN_6",4,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-19 16:10:21,"19FÉVR.2026:16:10:21",42
"39",6,601,6,"NR_INTVWR_6","SSN_6",5,"F_INCOME.HY020",0,2026-02-19 16:11:03,"19FÉVR.2026:16:11:03",7
"40",6,601,6,"NR_INTVWR_6","SSN_6",6,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-19 16:11:10,"19FÉVR.2026:16:11:10",97
"41",6,601,6,"NR_INTVWR_6","SSN_6",7,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-19 16:12:47,"19FÉVR.2026:16:12:47",75
"42",7,701,7,"NR_INTVWR_7","SSN_7",1,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-15 16:52:49,"15FÉVR.2026:16:52:49",61
"43",7,701,7,"NR_INTVWR_7","SSN_7",2,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-15 16:53:50,"15FÉVR.2026:16:53:50",57
"44",7,701,7,"NR_INTVWR_7","SSN_7",3,"F_ADMINISTRATION.TX_END",0,2026-02-15 16:54:47,"15FÉVR.2026:16:54:47",83
"45",7,701,7,"NR_INTVWR_7","SSN_7",4,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-15 16:56:10,"15FÉVR.2026:16:56:10",71
"46",7,701,7,"NR_INTVWR_7","SSN_7",5,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-15 16:57:21,"15FÉVR.2026:16:57:21",80
"47",7,701,7,"NR_INTVWR_7","SSN_7",6,"F_INCOME.HY010",0,2026-02-15 16:58:41,"15FÉVR.2026:16:58:41",100
"48",8,801,8,"NR_INTVWR_8","SSN_8",1,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-10 11:01:55,"10FÉVR.2026:11:01:55",6
"49",8,801,8,"NR_INTVWR_8","SSN_8",2,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-10 11:02:01,"10FÉVR.2026:11:02:01",79
"50",8,801,8,"NR_INTVWR_8","SSN_8",3,"F_MODULES.CONSENT",0,2026-02-10 11:03:20,"10FÉVR.2026:11:03:20",55
"51",8,801,8,"NR_INTVWR_8","SSN_8",4,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-10 11:04:15,"10FÉVR.2026:11:04:15",59
"52",8,801,8,"NR_INTVWR_8","SSN_8",5,"F_MODULES.CONSENT",0,2026-02-10 11:05:14,"10FÉVR.2026:11:05:14",88
"53",8,801,8,"NR_INTVWR_8","SSN_8",6,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-10 11:06:42,"10FÉVR.2026:11:06:42",115
"54",8,801,8,"NR_INTVWR_8","SSN_8",7,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-10 11:08:37,"10FÉVR.2026:11:08:37",46
"55",8,801,8,"NR_INTVWR_8","SSN_8",8,"F_INCOME.HY010",0,2026-02-10 11:09:23,"10FÉVR.2026:11:09:23",60
"56",9,901,9,"NR_INTVWR_9","SSN_9",1,"F_INCOME.HY010",0,2026-02-15 08:31:43,"15FÉVR.2026:08:31:43",66
"57",9,901,9,"NR_INTVWR_9","SSN_9",2,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-15 08:32:49,"15FÉVR.2026:08:32:49",61
"58",9,901,9,"NR_INTVWR_9","SSN_9",3,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-15 08:33:50,"15FÉVR.2026:08:33:50",44
"59",9,901,9,"NR_INTVWR_9","SSN_9",4,"F_INCOME.HY020",0,2026-02-15 08:34:34,"15FÉVR.2026:08:34:34",75
"60",9,901,9,"NR_INTVWR_9","SSN_9",5,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-15 08:35:49,"15FÉVR.2026:08:35:49",112
"61",9,901,9,"NR_INTVWR_9","SSN_9",6,"F_MODULES.CONSENT",0,2026-02-15 08:37:41,"15FÉVR.2026:08:37:41",40
"62",9,901,9,"NR_INTVWR_9","SSN_9",7,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-15 08:38:21,"15FÉVR.2026:08:38:21",68
"63",9,901,9,"NR_INTVWR_9","SSN_9",8,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-15 08:39:29,"15FÉVR.2026:08:39:29",105
"64",9,901,9,"NR_INTVWR_9","SSN_9",9,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-15 08:41:14,"15FÉVR.2026:08:41:14",76
"65",9,901,9,"NR_INTVWR_9","SSN_9",10,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-15 08:42:30,"15FÉVR.2026:08:42:30",78
"66",9,901,9,"NR_INTVWR_9","SSN_9",11,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-15 08:43:48,"15FÉVR.2026:08:43:48",45
"67",10,1001,10,"NR_INTVWR_10","SSN_10",1,"F_MODULES.CONSENT",0,2026-02-10 13:02:43,"10FÉVR.2026:13:02:43",24
"68",10,1001,10,"NR_INTVWR_10","SSN_10",2,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-10 13:03:07,"10FÉVR.2026:13:03:07",93
"69",10,1001,10,"NR_INTVWR_10","SSN_10",3,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-10 13:04:40,"10FÉVR.2026:13:04:40",35
"70",10,1001,10,"NR_INTVWR_10","SSN_10",4,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-10 13:05:15,"10FÉVR.2026:13:05:15",73
"71",10,1001,10,"NR_INTVWR_10","SSN_10",5,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-10 13:06:28,"10FÉVR.2026:13:06:28",72
"72",10,1001,10,"NR_INTVWR_10","SSN_10",6,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-10 13:07:40,"10FÉVR.2026:13:07:40",72
"73",10,1001,10,"NR_INTVWR_10","SSN_10",7,"F_INCOME.HY020",0,2026-02-10 13:08:52,"10FÉVR.2026:13:08:52",75
"74",10,1001,10,"NR_INTVWR_10","SSN_10",8,"F_INCOME.HY010",0,2026-02-10 13:10:07,"10FÉVR.2026:13:10:07",54
"75",10,1001,10,"NR_INTVWR_10","SSN_10",9,"F_INCOME.HY020",0,2026-02-10 13:11:01,"10FÉVR.2026:13:11:01",17
"76",10,1001,10,"NR_INTVWR_10","SSN_10",10,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-10 13:11:18,"10FÉVR.2026:13:11:18",113
"77",10,1001,10,"NR_INTVWR_10","SSN_10",11,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-10 13:13:11,"10FÉVR.2026:13:13:11",82
"78",10,1001,10,"NR_INTVWR_10","SSN_10",12,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-10 13:14:33,"10FÉVR.2026:13:14:33",80
"79",11,1101,11,"NR_INTVWR_11","SSN_11",1,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-18 15:43:49,"18FÉVR.2026:15:43:49",120
"80",11,1101,11,"NR_INTVWR_11","SSN_11",2,"F_INCOME.HY020",0,2026-02-18 15:45:49,"18FÉVR.2026:15:45:49",49
"81",11,1101,11,"NR_INTVWR_11","SSN_11",3,"F_ADMINISTRATION.TX_END",0,2026-02-18 15:46:38,"18FÉVR.2026:15:46:38",40
"82",11,1101,11,"NR_INTVWR_11","SSN_11",4,"F_INCOME.HY020",0,2026-02-18 15:47:18,"18FÉVR.2026:15:47:18",44
"83",11,1101,11,"NR_INTVWR_11","SSN_11",5,"F_MODULES.CONSENT",0,2026-02-18 15:48:02,"18FÉVR.2026:15:48:02",14
"84",11,1101,11,"NR_INTVWR_11","SSN_11",6,"F_INCOME.HY010",0,2026-02-18 15:48:16,"18FÉVR.2026:15:48:16",29
"85",11,1101,11,"NR_INTVWR_11","SSN_11",7,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-18 15:48:45,"18FÉVR.2026:15:48:45",60
"86",12,1201,12,"NR_INTVWR_12","SSN_12",1,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-15 09:43:50,"15FÉVR.2026:09:43:50",92
"87",12,1201,12,"NR_INTVWR_12","SSN_12",2,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-15 09:45:22,"15FÉVR.2026:09:45:22",102
"88",12,1201,12,"NR_INTVWR_12","SSN_12",3,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-15 09:47:04,"15FÉVR.2026:09:47:04",51
"89",12,1201,12,"NR_INTVWR_12","SSN_12",4,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-15 09:47:55,"15FÉVR.2026:09:47:55",36
"90",12,1201,12,"NR_INTVWR_12","SSN_12",5,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-15 09:48:31,"15FÉVR.2026:09:48:31",50
"91",13,1301,13,"NR_INTVWR_13","SSN_13",1,"F_ADMINISTRATION.TX_END",0,2026-02-11 12:01:47,"11FÉVR.2026:12:01:47",34
"92",13,1301,13,"NR_INTVWR_13","SSN_13",2,"F_ADMINISTRATION.TX_END",0,2026-02-11 12:02:21,"11FÉVR.2026:12:02:21",42
"93",13,1301,13,"NR_INTVWR_13","SSN_13",3,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-11 12:03:03,"11FÉVR.2026:12:03:03",92
"94",13,1301,13,"NR_INTVWR_13","SSN_13",4,"F_INCOME.HY010",0,2026-02-11 12:04:35,"11FÉVR.2026:12:04:35",62
"95",13,1301,13,"NR_INTVWR_13","SSN_13",5,"F_INCOME.HY020",0,2026-02-11 12:05:37,"11FÉVR.2026:12:05:37",56
"96",13,1301,13,"NR_INTVWR_13","SSN_13",6,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-11 12:06:33,"11FÉVR.2026:12:06:33",58
