PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL031,PL035,PL015,PL020,PL025,PL040,PL051,PL060,PL100,PL111,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY010G,PY020G,PY021G,PY030G,PY031G,PY035G,PY050G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PD020,PD030,PD050,PD060,PD070,PD080,PD090,PW010,PW020,PW030,PW040,PW050,PW060,PW070,PW080,PW090,PW100,PW110,PW120,PW130,PW140,PW150,PW160,PW170,PW180,PW190,PW200,PW210,PW220,PX010,PX020,PX030,PX040,PX050,PX200,DB040,NR_ITW
2013,BE,221,566.510903426791,NA,2,2013,NA,2,1941,2,5,1,BE,2,NA,5,7,NA,1,NA,NA,3,0 - 1,NA,NA,NA,NA,NA,1,2,2,NA,10,20,3,2,2,2,1,2,NA,990,1,0,0,0,12342,1,0,0,0,0,11315,0,0,0,0,1,1,1,1,1,1,NA,5,9,NA,9,9,4,2,NA,3,4,NA,NA,9,0,4,NA,9,2,1,4,5,8,4,1,71,22,1,7,316.44976586,BE10,BE10-4
2013,BE,281,566.510903426791,NA,4,2013,NA,1,1969,1,1,1,BE,2,NA,5,2,1,NA,NA,NA,1,2,56,NA,b-e,NA,13,1,1,2,NA,NA,25,2,2,3,2,NA,2,NA,1200,1,54422,1830,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,5,6,9,7,6,4,5,2,NA,2,NA,7,NA,2,5,NA,9,1,1,6,5,9,2,1,43,28,1,2,NA,BE10,BE10-3
2013,BE,371,566.510903426791,NA,2,2013,NA,3,1986,1,1,1,BE,2,NA,5,1,1,NA,2,NA,3,3,NA,NA,j,NA,NA,1,2,2,NA,NA,16,1,2,1,2,NA,2,NA,2724,1,19325,0,0,14950,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,7,9,9,8,3,4,3,4,2,NA,NA,8,4,0,5,8,1,2,7,7,8,2,1,26,37,1,7,415.65192343,BE10,BE10-5
2013,BE,431,566.510903426791,NA,2,2013,NA,1,1964,1,2,1,BE,2,NA,5,4,NA,1,NA,NA,3,5,38,NA,r-u,NA,NA,1,2,NA,NA,NA,18,2,2,1,2,NA,2,NA,0,1,0,0,0,0,1,910,23698,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,NA,7,8,10,3,5,2,NA,3,8,10,NA,2,99,6,8,1,1,5,NA,8,3,1,48,43,1,3,948.31101801,BE10,BE10-5
2013,BE,501,566.510903426791,NA,4,2013,NA,2,1961,1,2,1,Other,2,NA,5,1,1,1,NA,NA,3,2,40,NA,r-u,NA,NA,1,2,NA,NA,NA,14,3,2,2,2,NA,2,NA,0,1,21104,0,0,9502,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,8,NA,7,5,3,3,2,3,1,NA,NA,5,5,7,7,7,1,1,7,8,7,2,1,51,50,1,NA,NA,BE10,BE10-1
2013,BE,541,566.510903426791,NA,1,2013,NA,3,1946,1,3,3,BE,2,NA,5,7,1,1,NA,NA,3,NA,NA,NA,NA,NA,13,1,2,2,NA,NA,17,2,1,1,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,21842,0,0,0,0,1,1,1,1,3,2,1,4,NA,8,7,10,5,2,1,4,2,NA,9,10,5,5,5,8,1,NA,7,8,8,3,1,66,54,1,2,NA,BE10,BE10-1
2013,BE,661,566.510903426791,NA,2,2013,NA,4,1978,1,2,1,Other,2,5,5,1,1,1,NA,NA,3,NA,NA,NA,h,NA,13,NA,NA,NA,NA,NA,20,2,2,3,2,1,2,NA,0,1,7040,0,0,17805,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,1,8,NA,NA,NA,3,2,1,4,2,NA,NA,NA,5,5,4,5,1,1,NA,4,7,2,1,34,66,1,2,2329.240598,BE10,BE10-4
2013,BE,741,566.510903426791,NA,2,2013,NA,4,1971,1,1,2,EU,2,NA,3,1,1,NA,NA,NA,3,2,NA,NA,r-u,NA,12,NA,2,2,NA,NA,26,2,2,2,2,NA,2,NA,0,1,37690,1724,849,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,5,8,9,8,8,3,4,3,5,3,NA,8,8,5,2,7,8,1,1,8,9,4,2,1,41,74,1,6,NA,BE10,BE10-2
2013,BE,771,566.510903426791,NA,2,2013,NA,3,1947,1,2,1,EU,2,NA,3,5,NA,NA,NA,1,3,4,NA,NA,NA,6,NA,1,NA,NA,NA,4,18,3,2,2,2,NA,2,NA,0,1,0,0,0,5154,1,900,0,0,10464,0,0,0,0,0,1,1,1,1,2,1,1,1,5,9,6,8,3,5,2,1,3,NA,NA,6,0,5,8,7,1,1,NA,7,7,2,1,65,77,1,7,933.55792894,BE10,BE10-5
2013,BE,791,566.510903426791,NA,2,2013,NA,2,1937,2,5,3,BE,2,NA,2,7,1,NA,NA,NA,3,9,40,NA,NA,NA,NA,2,1,1,NA,NA,25,3,1,3,2,NA,2,NA,0,1,0,0,0,0,1,910,0,0,0,49584,0,0,0,0,1,1,1,1,1,1,1,5,8,9,10,8,5,5,1,5,NA,NA,9,NA,6,7,5,9,1,1,9,9,8,2,1,75,79,1,3,NA,BE10,BE10-2
2013,BE,831,566.510903426791,NA,2,2013,NA,2,1962,1,1,3,BE,1,NA,2,1,1,NA,NA,NA,3,4,40,NA,o,NA,13,NA,2,2,NA,NA,22,1,2,3,2,NA,2,NA,0,1,70940,0,0,19181,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,10,8,8,10,4,5,2,5,3,4,NA,7,10,NA,8,9,1,1,7,9,8,1,1,50,83,1,2,2075.5033824,BE10,BE10-5
2013,BE,881,566.510903426791,NA,2,2013,NA,3,1983,1,1,NA,EU,2,NA,5,1,1,NA,NA,NA,3,2,38,25,r-u,NA,13,1,2,2,NA,NA,22,2,2,3,2,NA,2,NA,0,1,50829,5022,2362,14909,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,1,5,10,10,5,7,NA,5,2,5,2,8,9,8,7,4,4,NA,1,1,3,7,7,2,1,29,88,1,7,807.71823239,BE10,BE10-2
2013,BE,1111,566.510903426791,NA,2,2013,NA,2,1951,1,3,3,EU,2,NA,3,5,1,NA,NA,NA,3,5,NA,NA,NA,6,NA,NA,NA,2,NA,NA,19,3,2,3,2,1,2,NA,0,1,0,0,0,0,1,0,0,0,0,25282,0,0,0,0,1,1,1,2,1,2,1,5,8,9,8,8,3,2,3,4,NA,7,NA,6,5,99,5,9,1,1,8,10,5,2,1,61,111,1,7,1310.8407855,BE10,BE10-1
