PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL031,PL035,PL015,PL020,PL025,PL040,PL051,PL060,PL100,PL111,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY010G,PY020G,PY021G,PY030G,PY031G,PY035G,PY050G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PX010,PX020,PX030,PX040,PX050,PC170,PC180,DB040,NR_ITW
2012,RO,381,943.655589123867,NA,2,2012,30,4,1959,2,3,3,RO,2,NA,3,3,NA,1,NA,NA,2,6,NA,NA,j,NA,1,NA,NA,2,NA,NA,18,1,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,1,4.2391,52,38,1,2,2,NA,RO11,RO11-4
2012,RO,481,943.655589123867,NA,2,2012,30,3,1937,2,2,3,RO,2,NA,2,7,NA,NA,NA,NA,3,9,30,NA,NA,NA,13,1,2,2,NA,NA,30,3,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,346,0,0,1782,0,0,0,0,1,4.2391,74,48,1,3,2,NA,RO11,RO11-4
2012,RO,631,943.655589123867,NA,2,2012,20,2,1943,2,2,3,RO,2,NA,1,3,NA,NA,NA,NA,3,6,40,NA,a,NA,11,1,2,NA,NA,NA,18,4,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,2460,0,0,0,0,1,4.2391,68,63,1,6,2,NA,RO11,RO11-5
2012,RO,751,943.655589123867,NA,2,2012,19,3,1962,1,2,3,RO,2,NA,3,7,NA,1,1,NA,2,7,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,2,1,1,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,1030,40,0,0,0,1,4.2391,49,75,1,2,2,NA,RO11,RO11-4
2012,RO,861,943.655589123867,NA,2,2012,15,2,1936,2,2,3,RO,2,NA,5,7,NA,NA,2,NA,3,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,24,3,2,2,2,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,1269,0,0,0,0,1,4.2391,75,86,1,NA,2,NA,RO11,RO11-4
2012,RO,941,943.655589123867,NA,2,2012,10,1,1932,2,2,3,RO,2,NA,3,7,NA,NA,2,NA,3,5,40,NA,NA,NA,13,1,2,2,NA,NA,21,3,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,2531,0,0,0,0,1,4.2391,79,94,1,3,2,NA,RO11,RO11-3
2012,RO,1151,943.655589123867,NA,2,2012,25,2,1942,1,2,3,RO,2,NA,2,7,NA,NA,NA,NA,3,8,NA,NA,NA,NA,14,1,2,2,NA,NA,17,2,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,2337,0,0,0,0,1,4.2391,69,115,1,7,2,NA,RO11,RO11-3
2012,RO,1291,943.655589123867,NA,2,2012,18,2,1955,2,2,3,RO,2,NA,2,3,NA,NA,1,NA,4,9,NA,NA,b-e,NA,1,NA,NA,NA,NA,1,21,1,2,1,1,1,1,NA,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,1,4.2391,56,129,1,6,2,NA,RO11,RO11-3
2012,RO,1351,943.655589123867,NA,2,2012,30,3,1942,2,5,3,RO,2,NA,2,7,NA,1,NA,NA,4,5,NA,NA,NA,NA,9,1,NA,NA,NA,NA,19,2,1,3,2,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,1132,0,0,0,0,1,4.2391,69,135,1,6,2,1,RO11,RO11-5
2012,RO,1381,943.655589123867,NA,2,2012,20,1,1958,1,2,3,RO,2,NA,5,1,NA,1,NA,NA,3,2,NA,NA,l-n,NA,1,NA,2,2,NA,NA,22,2,2,2,2,NA,2,NA,2448,0,4728,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,53,138,1,7,2,NA,RO11,RO11-3
2012,RO,1471,943.655589123867,NA,2,2012,20,3,1936,2,4,3,RO,2,NA,3,7,NA,1,2,NA,3,3,40,NA,NA,NA,NA,1,2,NA,NA,NA,22,3,2,2,2,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,1,4.2391,75,147,1,7,2,NA,RO11,RO11-2
2012,RO,1561,943.655589123867,NA,2,2012,10,3,1947,1,2,3,RO,2,NA,2,7,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,1,2,NA,NA,NA,22,2,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,3053,0,0,0,0,1,4.2391,64,156,1,2,2,NA,RO11,RO11-3
