HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY100N,HY145N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY090G,HY100G,HY110G,HY120G,HY130G,HY140G,HS010,HS020,HS030,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH020,HH030,HH040,HH050,HH060,HH061,HH070,HH080,HH090,HX040,HX050,HX090,HX080,HX060,HX070,HX020,HX010,DB040,NR_ITW
2004,BE,20,4,2004,30,11904,14778,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,-2874,NA,2,NA,1,1,1,1,1,1,3,1,4,1200,3,NA,2,1,2,2,1,1,5,2,1,400,NA,211,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,26,4,2004,20,20529,405,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,20125,NA,2,NA,1,2,1,1,1,2,1,3,4,1300,1,NA,2,2,1,2,1,1,6,2,1,NA,867.63,470,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,33,4,2004,17,26969,14539,0,0,NA,NA,NA,NA,NA,0,0,0,0,8644,0,NA,0,0,0,12430,2,2,2,2,1,1,1,1,1,1,1,6,1700,1,NA,2,2,2,2,1,2,6,2,1,NA,610,236.01,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,39,3,2004,8,0,-114,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,114,2,2,NA,1,1,1,1,1,1,1,1,3,NA,1,NA,2,2,2,1,1,1,4,2,1,NA,450,323,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,45,4,2004,21,0,-654,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,654,2,2,2,1,1,2,1,1,1,1,2,6,1700,2,2,2,2,2,2,2,1,2,2,1,NA,600,1400,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-1
2004,BE,49,4,2004,12,3548,2948,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,3548,NA,0,0,601,0,2,2,NA,1,1,1,1,1,1,1,1,5,5000,3,NA,2,2,2,2,1,2,6,2,1,992,NA,1223.67,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,60,3,2004,55,8669,8667,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,403,NA,0,0,0,2,NA,2,NA,2,1,2,1,2,2,1,1,4,2500,3,1,2,2,2,2,1,1,6,2,1,NA,375,225,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,66,4,2004,32,14685,16359,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,10,NA,0,0,0,-1673,NA,2,2,1,1,1,1,1,1,3,1,1,1400,3,NA,1,2,2,2,1,1,5,2,1,NA,650,745,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2004,BE,70,4,2004,25,31730,-33623,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,7,NA,0,0,30460,34894,2,2,2,2,2,1,1,1,3,1,1,3,NA,3,NA,2,2,2,2,3,1,4,2,1,145,625,164,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,71,3,2004,11,44124,43256,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,127,NA,0,0,0,868,2,2,NA,2,1,2,1,2,1,1,1,1,NA,1,NA,2,1,2,2,1,1,4,2,1,NA,600,706,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,75,4,2004,20,1768,1862,1767,1767,NA,NA,NA,NA,NA,1767,0,0,0,0,1,NA,0,0,0,-94,2,2,NA,2,1,1,1,1,1,1,1,6,1985,3,NA,2,2,2,2,1,2,5,2,1,NA,700,370,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,104,4,2004,15,16913,7989,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,197,NA,0,0,7651,1273,2,2,1,1,1,1,1,1,1,1,1,2,2700,2,1,2,2,2,2,1,1,6,2,1,NA,NA,295,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-1
2004,BE,129,3,2004,58,0,-242,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,242,2,2,2,1,1,1,1,1,1,3,1,1,1000,1,2,2,2,2,2,4,2,3,2,1,NA,600,617,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,145,4,2004,35,30232,24220,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,2662,3350,NA,2,2,1,1,1,1,1,1,1,1,4,1611,3,NA,2,1,2,2,1,1,4,2,1,NA,NA,300,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2004,BE,202,4,2004,36,14216,14196,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,29,NA,0,0,2,18,NA,2,NA,1,1,1,1,1,1,1,1,2,2300,1,NA,2,2,2,2,1,2,6,2,1,NA,NA,384,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,220,3,2004,25,3886,3779,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,107,NA,2,2,2,1,2,1,1,1,3,3,5,1250,2,NA,2,2,1,2,2,2,3,2,1,NA,375,467.96,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2004,BE,221,4,2004,30,30426,27580,37,37,NA,NA,NA,NA,NA,37,0,0,0,0,194,NA,0,0,0,2846,NA,2,NA,1,1,2,1,1,3,1,1,3,2500,2,NA,2,2,2,2,2,1,3,2,1,NA,450,229,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,254,4,2004,20,34192,30232,1205,1205,NA,NA,NA,NA,NA,1205,0,0,0,0,3,NA,0,0,3960,0,NA,2,NA,1,1,1,1,1,1,1,1,5,NA,2,NA,2,2,2,2,1,1,4,2,1,NA,650,1105.51,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,272,4,2004,14,28290,19740,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,950,7600,2,2,NA,2,1,1,1,1,1,1,1,5,600,2,NA,2,1,2,2,4,2,5,1,1,NA,300,223,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,274,3,2004,15,86520,78438,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,8082,2,2,2,1,1,2,1,1,1,1,1,5,1750,2,NA,1,2,2,2,4,1,4,2,1,NA,400,426.35,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2004,BE,284,4,2004,NA,7009,6938,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,122,NA,0,0,0,71,NA,2,NA,1,1,1,1,1,1,1,1,5,1000,3,NA,2,2,2,2,1,1,5,2,1,NA,NA,757.26,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,289,3,2004,13,37609,22643,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,1093,NA,0,0,0,14965,2,2,NA,1,1,1,1,1,1,1,1,5,5000,3,NA,2,2,2,2,1,2,6,2,1,992,NA,1223.67,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,315,4,2004,15,39585,35009,5159,5159,NA,NA,NA,NA,NA,5159,0,0,0,0,3624,NA,0,0,0,4576,1,2,NA,1,1,1,1,1,1,3,1,5,1250,3,NA,2,2,2,2,2,1,5,2,1,450,440,312.81,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,317,3,2004,17,7590,7548,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,44,NA,0,0,0,42,2,2,NA,1,1,1,1,1,1,1,1,5,3400,3,1,2,2,2,1,1,3,2,2,1,NA,NA,860.04,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-1
2004,BE,325,4,2004,32,31263,35646,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,21,NA,0,0,0,-4383,NA,2,NA,1,1,1,1,1,1,1,1,5,1200,2,NA,2,1,2,2,2,1,6,1,1,NA,1200,275,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2004,BE,335,4,2004,10,16944,16542,0,0,NA,NA,NA,NA,NA,0,0,0,0,213,161,NA,0,0,0,402,2,2,2,1,1,2,1,1,3,1,1,4,2250,1,2,2,2,1,2,3,2,5,2,1,400,500,220,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,339,4,2004,18,11503,-775,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,9,NA,0,0,12279,0,2,2,2,1,1,1,1,1,3,1,1,3,2231.04,1,2,2,1,2,1,2,2,1,2,1,NA,750,344.97,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,372,4,2004,23,4437,4394,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,4437,NA,0,0,0,43,NA,2,NA,1,1,1,1,1,1,1,1,3,2500,3,NA,2,1,2,2,2,1,5,2,1,NA,2000,696.04,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,376,4,2004,23,115971,100408,0,0,NA,NA,NA,NA,NA,0,0,95333,0,0,35,NA,0,0,0,15563,2,2,NA,1,1,1,1,1,1,1,1,5,5000,3,NA,2,2,2,2,1,2,6,2,1,992,NA,1223.67,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,395,4,2004,27,9741,9636,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,125,NA,0,0,0,105,2,2,2,1,1,1,1,1,1,2,2,4,1250,1,NA,2,2,2,1,1,4,5,2,1,NA,NA,549,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,457,4,2004,7,25446,17365,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,245,NA,0,0,0,8081,NA,2,NA,NA,1,1,1,1,1,1,1,4,1611,3,NA,2,2,2,2,3,1,6,2,1,NA,NA,528.63,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,470,4,2004,40,24496,4393,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,20103,NA,2,NA,1,1,1,1,1,1,1,1,3,NA,1,NA,2,2,2,2,1,1,4,2,2,NA,1250,205,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-1
2004,BE,495,4,2004,15,39196,21379,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,17818,2,2,NA,1,1,1,1,1,1,1,1,5,5000,3,NA,2,2,2,2,1,2,6,2,1,992,NA,1223.67,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,528,4,2004,NA,53638,48565,0,0,NA,NA,NA,NA,NA,0,0,2735,0,0,0,NA,0,0,0,5073,NA,2,2,1,1,1,1,1,1,1,1,5,2100,2,NA,1,2,2,2,2,1,5,2,1,NA,650,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,529,4,2004,8,23547,21861,0,0,NA,NA,NA,NA,NA,0,0,0,0,4352,0,NA,0,0,0,1687,2,2,2,2,2,1,1,1,1,1,1,5,650,2,3,2,2,2,2,1,1,6,2,1,NA,NA,183,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,533,4,2004,9,12882,12881,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,71,NA,0,0,0,1,2,1,NA,2,1,2,1,1,1,1,1,4,1250,3,NA,2,2,2,2,3,2,3,2,1,161,550,225,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,538,3,2004,7,13905,1369,0,0,NA,NA,NA,NA,NA,0,0,0,0,618,467,NA,0,0,0,12536,2,2,NA,1,1,1,1,1,1,1,1,3,1700,3,NA,2,1,2,2,1,1,6,2,1,NA,625,365.49,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,540,4,2004,29,22769,-4920,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,27689,2,2,2,2,1,1,1,1,2,1,3,5,1500,3,NA,2,2,2,1,2,2,4,2,1,NA,NA,210,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,578,4,2004,25,51415,14121,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,332,NA,0,0,0,37293,2,2,NA,1,1,1,1,1,1,1,1,1,NA,2,NA,2,1,2,1,2,1,6,2,1,NA,650,230,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2004,BE,597,3,2004,43,0,-1553,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,1553,NA,2,2,1,1,1,1,1,1,1,1,4,1250,1,NA,2,1,2,2,2,1,3,1,1,NA,300,431,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,641,4,2004,16,15792,4063,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,470,NA,0,0,0,11729,NA,2,NA,1,1,1,1,1,1,1,1,1,1500,2,NA,2,1,2,2,2,4,6,2,1,NA,2000,512.36,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,644,4,2004,34,8475,8411,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,65,1,2,2,2,1,1,1,1,2,3,1,1,3000,2,NA,1,2,2,1,2,1,5,2,1,161,NA,977,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-1
2004,BE,679,4,2004,17,6561,6524,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,0,0,0,36,2,2,NA,1,1,1,1,1,1,1,1,4,700,2,NA,2,2,2,2,2,1,5,2,1,312.15,625,576.3,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2004,BE,685,4,2004,20,6798,6789,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,10,NA,0,0,3,6,2,2,2,2,1,2,1,1,3,1,1,6,1000,3,NA,2,2,2,1,1,1,4,2,1,NA,425,359.98,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,700,4,2004,10,13587,10682,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,4,NA,0,0,323,2582,2,2,NA,1,1,1,1,1,1,1,3,3,1041,2,NA,1,2,2,2,1,2,6,2,1,NA,600,881,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,733,4,2004,11,4,-46,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,4,NA,0,0,85,-35,1,2,2,1,1,1,1,1,3,1,1,3,1800,3,NA,2,1,2,2,4,1,6,1,1,NA,NA,372,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,739,3,2004,NA,11358,11324,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,34,2,2,NA,1,1,1,1,1,2,1,1,2,1500,3,2,2,2,2,2,3,2,6,2,1,NA,NA,552.69,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-1
2004,BE,744,4,2004,32,8353,8277,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,20,57,2,1,NA,1,2,2,1,1,1,1,2,4,5000,3,NA,1,2,2,2,2,1,6,2,1,NA,500,150,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,746,4,2004,18,10808,-9949,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,319,NA,0,0,0,20757,NA,2,NA,1,1,1,1,1,1,3,1,5,4000,3,NA,2,2,2,2,1,1,3,1,1,NA,743,699.3,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
