HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY100N,HY145N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY090G,HY100G,HY110G,HY120G,HY130G,HY140G,HS010,HS020,HS030,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH020,HH030,HH040,HH050,HH060,HH061,HH070,HH080,HH090,MH010,MH020,MH030,MH040,MH050,MH060,MH070,MH080,MH090,MH100,MH110,MH120,MH130,MH140,MH150,MH160,HX040,HX050,HX090,HX080,HX060,HX070,HX020,HX010,HY081N,HY131N,HY081G,HY131G,DB040,NR_ITW
2007,BE,20,4,2007,16,83919,75457,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,1898,NA,0,0,0,8462,2,NA,NA,1,1,1,1,1,1,1,1,5,1500,3,3,2,2,2,1,3,1,5,2,1,800,NA,536.75,1,1,2,1,1,1,1,2,1,4,4,1,4,4,4,4,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2007,BE,26,2,2007,10,0,-53,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,53,2,2,NA,1,1,2,1,1,1,1,1,4,1500,2,NA,2,1,2,1,NA,1,4,2,1,NA,NA,715.07,1,1,2,1,1,3,1,2,1,4,3,4,1,4,4,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2007,BE,34,2,2007,9,25791,8503,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,17288,NA,2,NA,1,1,1,1,1,1,1,1,6,3000,1,3,2,1,2,2,1,1,6,2,1,NA,NA,739.96,1,1,2,1,1,1,1,2,1,4,3,3,2,1,3,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2007,BE,40,2,2007,30,0,-48,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,48,2,2,2,1,1,2,1,1,2,1,3,5,3000,2,NA,2,2,2,2,2,2,4,1,1,305.96,NA,302.42,1,1,2,1,1,1,1,2,1,4,4,3,4,3,3,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2007,BE,46,2,2007,17,95241,95209,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,227,NA,0,0,10,22,2,2,2,1,1,1,1,1,1,1,3,4,1000,1,NA,2,1,2,1,2,1,4,2,1,100,NA,460.56,1,1,2,1,1,1,1,2,2,3,2,3,4,4,3,4,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2007,BE,50,1,2007,19,6924,6084,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,840,2,2,2,2,1,1,1,1,1,1,3,5,1250,3,NA,2,2,1,2,NA,1,5,2,NA,NA,NA,523.25,1,1,2,1,1,1,1,2,1,3,3,3,1,2,3,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2007,BE,61,2,2007,13,8331,8265,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,66,NA,2,NA,1,1,1,1,1,3,1,1,2,1200,2,NA,2,2,2,2,1,1,4,2,2,NA,NA,383.17,2,1,1,2,1,1,1,2,1,3,3,4,3,1,3,4,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2007,BE,68,3,2007,6,14634,14567,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,3299,NA,0,0,0,67,NA,2,NA,1,1,1,1,1,1,1,3,1,1500,3,1,2,2,1,2,1,2,6,2,1,425,NA,184,1,1,2,1,1,1,1,2,1,3,3,2,2,1,4,4,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2007,BE,71,2,2007,16,63408,57751,0,0,NA,NA,NA,NA,NA,0,0,0,2547,0,0,NA,0,0,0,5657,NA,2,2,1,1,1,1,1,1,1,1,6,1250,3,NA,2,2,1,1,1,1,4,2,1,NA,NA,607.07,1,1,2,1,1,1,1,2,1,1,4,2,2,3,3,3,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2007,BE,73,2,2007,11,0,-1000,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,1000,2,2,2,1,2,1,1,3,1,1,3,3,1100,1,NA,2,2,2,1,2,3,6,2,1,281,NA,353.15,1,1,2,1,1,1,1,2,2,4,4,2,2,3,3,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-4
