HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY081N,HY100N,HY131N,HY145N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HS010,HS011,HS020,HS021,HS030,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH020,HH030,HH040,HH050,HH060,HH061,HH070,HH080,HH081,HH090,HH091,MI010,MI020,MI025,MI026,MI030,MI040,MI045,MI046,MI050,MI051,MI052,MI053,MI054,MI055,MI056,MI057,MI058,MI060,MI065,MI066,MI075,MI076,MI085,MI086,MI090,MI095,MI100,MI110,MI111,MI112,MI113,MI114,MI120,MI121,MI122,MI123,MI124,MI125,HX040,HX050,HX090,HX080,HX060,HX070,HX120,HX010,DB040,NR_ITW
2008,BE,20,2,2008,31,4589,4258,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1243,NA,0,NA,0,0,0,NA,331,NA,2,NA,3,NA,NA,1,1,1,1,1,2,3,1,5,2500,3,NA,2,2,2,2,1,1,6,2,1,NA,NA,396.31,1,NA,1,NA,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2008,BE,26,3,2008,27,39590,53140,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,-13550,NA,3,NA,3,NA,NA,1,1,1,1,1,1,1,1,5,1850,3,NA,2,1,2,2,2,1,6,2,1,NA,NA,1024.33,1,NA,1,NA,1,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2008,BE,34,2,2008,14,8609,4744,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,161,NA,0,0,0,NA,3866,NA,3,NA,3,NA,NA,2,1,1,1,1,1,1,1,5,3850,1,3,2,2,2,2,3,1,5,2,1,638,NA,523,1,NA,1,NA,1,2,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,1,2,1,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2008,BE,40,3,2008,15,11183,11141,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,3,NA,0,0,0,NA,42,NA,NA,NA,2,NA,3,1,1,1,1,1,1,1,1,3,2000,3,NA,2,2,2,2,2,1,6,2,2,NA,NA,246.75,1,NA,1,NA,1,2,NA,NA,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2008,BE,47,4,2008,10,45499,44908,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,6764,NA,0,0,0,NA,590,NA,3,NA,3,NA,NA,1,1,1,1,1,1,1,1,6,3700,2,NA,2,2,2,2,2,1,6,1,1,NA,NA,917.82,1,NA,1,NA,1,2,NA,NA,1,2,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,8,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2008,BE,50,2,2008,15,13432,11886,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,1546,NA,NA,NA,1,NA,NA,2,1,1,1,1,1,1,1,6,3700,3,NA,2,2,2,2,3,1,6,2,1,NA,NA,803.93,NA,NA,1,NA,1,2,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,8,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2008,BE,62,2,2008,17,11546,10528,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,120,NA,0,0,0,NA,1018,NA,3,NA,3,NA,NA,1,1,1,1,1,1,1,1,5,2000,1,NA,2,2,1,2,2,1,4,2,1,250,NA,724.6,1,NA,NA,NA,1,2,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2008,BE,69,2,2008,21,6230,5296,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,935,NA,3,NA,3,NA,NA,1,1,2,1,1,1,1,1,2,1500,2,NA,1,2,1,2,2,3,3,2,1,NA,NA,259.96,NA,NA,1,NA,1,1,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2008,BE,72,2,2008,19,4,-10971,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,4,NA,0,0,0,NA,10976,NA,3,NA,2,NA,3,1,1,1,1,1,1,1,1,5,NA,2,3,1,1,1,2,2,1,6,2,1,NA,NA,968.81,1,NA,1,NA,1,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2008,BE,74,4,2008,23,11435,10170,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,85,NA,0,0,0,NA,1265,NA,NA,NA,3,NA,3,1,1,1,1,1,3,1,1,4,3000,2,2,2,2,1,2,2,2,6,2,1,700,NA,581.92,1,NA,1,NA,1,2,NA,NA,1,2,NA,NA,2,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,8,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
