HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY081N,HY100N,HY131N,HY145N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HS010,HS011,HS020,HS021,HS030,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH020,HH030,HH040,HH050,HH060,HH061,HH070,HH080,HH081,HH090,HH091,HD010,HD020,HD025,HD030,HD035,HD040,HD050,HD060,HD070,HD080,HD090,HD100,HD110,HD120,HD130,HD140,HD150,HD160,HD170,HD180,HD190,HD200,HD210,HD220,HD230,HD240,HD250,HD255,HD260,HD265,HX040,HX050,HX090,HX080,HX060,HX070,HX120,HX010,DB040,NR_ITW
2009,BE,21,3,2009,28,15764,13981,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,1783,NA,NA,NA,3,NA,NA,1,1,2,1,1,1,1,1,5,2000,3,NA,2,2,2,2,2,1,4,1,1,NA,NA,1502.25,1,NA,1,NA,1,2,NA,2,80,4,3,1,4,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2009,BE,27,4,2009,11,35672,14323,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,21349,NA,0,NA,NA,NA,3,NA,3,1,1,1,1,1,1,1,1,6,NA,1,NA,2,2,2,1,1,1,3,2,1,NA,NA,305.38,1,NA,1,NA,1,2,NA,2,250,2,4,4,1,1,1,NA,NA,NA,NA,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2009,BE,35,2,2009,35,36737,24292,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,12444,NA,3,NA,3,NA,NA,2,1,1,1,1,1,1,1,3,1800,3,NA,2,2,2,2,2,1,5,2,1,NA,NA,429,1,NA,1,NA,1,2,NA,2,100,4,4,4,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2009,BE,41,4,2009,17,3797,3748,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,49,NA,NA,NA,3,NA,NA,1,1,1,1,1,1,1,1,5,200,3,NA,2,1,1,2,2,1,6,2,1,200,NA,473,1,NA,1,NA,1,2,NA,2,90,1,3,NA,1,3,3,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2009,BE,48,2,2009,21,26783,23763,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,586,NA,0,0,0,NA,3020,NA,3,NA,3,NA,NA,1,1,2,1,1,1,1,1,5,NA,1,2,2,2,2,2,1,1,3,2,1,NA,NA,798.17,1,NA,1,NA,1,2,NA,2,120,3,4,NA,3,3,1,NA,1,1,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2009,BE,51,2,2009,10,6340,6207,77,77,NA,NA,NA,NA,NA,NA,NA,77,0,0,0,807,NA,240,NA,0,0,0,NA,133,NA,3,NA,3,NA,NA,2,1,1,1,1,1,1,1,2,1400,3,NA,2,2,1,2,1,1,6,2,1,300,NA,687,1,NA,1,NA,1,2,4,2,156,4,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2009,BE,63,4,2009,23,30672,11967,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,2729,NA,15976,NA,3,NA,3,NA,NA,1,1,1,1,1,1,1,1,2,3300,3,NA,2,2,2,2,1,1,2,2,1,NA,NA,342.33,1,NA,1,NA,1,2,NA,2,170,3,4,2,4,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2009,BE,70,2,2009,13,4465,4405,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,60,NA,3,NA,2,NA,NA,1,1,2,1,1,1,3,2,1,2500,3,NA,2,2,1,2,3,3,5,2,1,187,NA,486.11,1,NA,1,NA,1,2,NA,2,65,4,4,3,2,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2009,BE,74,2,2009,10,40688,19058,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,798,NA,0,0,0,NA,21630,NA,3,NA,3,NA,NA,2,1,1,1,1,2,1,1,3,2500,3,NA,2,2,2,2,2,2,6,2,2,NA,NA,1033.82,1,NA,1,NA,NA,2,NA,1,300,4,4,2,3,3,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2009,BE,75,2,2009,26,19011,13082,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,528,NA,661,NA,0,0,0,NA,5928,NA,3,NA,3,NA,NA,1,1,1,1,1,1,1,1,5,1525,2,1,2,2,2,2,2,2,6,2,1,NA,NA,665.8,1,NA,1,NA,1,2,NA,2,150,4,4,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
