HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY081N,HY100N,HY131N,HY145N,HY170N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HY170G,HS010,HS011,HS020,HS021,HS030,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH020,HH021,HH030,HH040,HH050,HH060,HH061,HH070,HH071,HH080,HH081,HH090,HH091,HA010,HA020,HA030,HA040,HA050,HA060,HA070,HX040,HX050,HX090,HX080,HX060,HX070,HX120,HX010,R_HA030,R_HA040,R_HA050,R_HA060,R_HA070,DB040,NR_ITW
2010,BE,21,1,2010,5,4978,4910,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,1422,NA,0,0,0,NA,68,NA,NA,3,NA,3,NA,3,1,1,2,1,1,3,3,1,4,1900,2,NA,2,1,2,2,3,NA,2,5,2,1,600,NA,286.58,307.97,NA,1,NA,1,NA,NA,478001,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2010,BE,27,2,2010,10,15320,15247,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,14982,NA,0,NA,0,0,0,NA,73,NA,NA,3,NA,3,NA,NA,2,1,1,1,1,1,1,1,3,3450,3,NA,2,2,2,2,2,NA,2,6,2,1,NA,NA,722.67,0,NA,1,NA,1,1,NA,413501,869502,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-1
2010,BE,35,1,2010,7,31215,40774,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,179,NA,0,0,0,NA,-9559,NA,NA,3,NA,3,NA,3,2,1,1,1,1,1,1,1,5,2500,1,2,2,2,2,2,4,NA,2,3,2,1,NA,NA,318.57,604,NA,1,NA,1,NA,2,674401,508202,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2010,BE,41,1,2010,9,11309,11276,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,11309,NA,0,0,3,NA,30,NA,NA,3,NA,3,NA,3,1,1,1,1,1,1,1,1,4,3000,3,3,1,2,2,2,1,NA,1,4,1,1,NA,NA,444.03,1054.09,NA,1,NA,1,NA,1,927601,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2010,BE,48,1,2010,10,124,90,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,124,NA,0,0,8,NA,27,NA,NA,3,NA,3,NA,3,2,1,1,1,1,1,1,1,4,950,3,NA,2,2,2,1,4,NA,1,6,2,1,370,NA,1258.33,332,NA,1,NA,1,NA,1,NA,656502,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2010,BE,52,1,2010,27,7376,6903,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,473,NA,NA,3,NA,3,NA,NA,1,1,1,1,1,1,1,1,6,3993,3,2,2,2,2,2,1,NA,2,6,2,1,NA,NA,301.39,0,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2010,BE,63,2,2010,59,758,693,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,758,NA,0,0,15,NA,50,NA,NA,3,NA,1,NA,3,2,1,1,1,1,1,3,1,3,1600,2,NA,2,1,1,2,2,NA,3,6,2,1,NA,NA,197.83,0,NA,1,NA,1,NA,1,417901,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2010,BE,71,1,2010,13,17611,17534,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,306,NA,0,0,0,NA,77,NA,NA,3,NA,3,NA,3,1,1,1,1,1,1,1,2,5,3200,2,NA,2,1,2,2,2,NA,2,6,2,1,NA,NA,288,0,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2010,BE,74,2,2010,25,25127,25096,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4484,NA,311,NA,0,0,0,NA,31,NA,NA,3,NA,3,NA,NA,1,1,1,1,1,3,1,1,6,1000,3,3,2,1,2,2,2,NA,1,4,2,1,806,NA,433.36,0,NA,1,NA,1,1,NA,616601,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2010,BE,76,1,2010,11,16728,12574,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,4154,NA,NA,3,NA,3,NA,NA,1,1,1,1,1,3,1,1,4,9300,1,NA,2,2,1,2,3,NA,2,4,2,1,NA,NA,142.67,0,NA,1,NA,1,NA,1,NA,844102,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-3
