HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY081N,HY100N,HY131N,HY145N,HY170N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HY170G,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH021,HH030,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HX010,HX040,HX050,HX060,HX070,HX080,HX090,HX120,DB040,NR_ITW
2011,BE,21,2,2011,10,33407,29126,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,4281,NA,3,3,NA,1,1,1,1,1,1,1,1,4,1200,2,NA,2,2,2,1,4,2,6,2,1,NA,NA,606.47,1400,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-4
2011,BE,28,1,2011,27,6154,-3038,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,2831,NA,0,0,0,NA,9192,NA,NA,3,NA,1,1,1,1,1,1,1,1,4,1000,3,2,2,1,2,1,1,1,6,1,1,NA,NA,1381.37,831,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-2
2011,BE,36,1,2011,16,26806,25622,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,158,NA,1026,NA,3,3,3,1,1,1,1,1,1,1,1,1,4000,2,1,2,2,2,1,2,3,5,2,1,NA,NA,2152.59,0,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-2
2011,BE,42,2,2011,22,18417,18360,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,2614,NA,0,0,36,NA,21,NA,3,3,3,1,1,1,1,1,1,1,1,5,3000,3,3,2,1,2,2,2,1,4,2,1,NA,NA,1281.09,122.16,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-1
2011,BE,49,2,2011,32,10783,8538,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,66,NA,0,0,466,NA,1779,NA,NA,3,3,2,1,2,1,1,1,1,1,2,2500,3,NA,2,1,2,2,2,3,6,1,1,NA,NA,678.88,558,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-2
2011,BE,53,3,2011,25,10434,-57094,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,841,NA,0,0,0,NA,67528,NA,3,3,NA,1,1,1,1,1,1,1,1,4,2500,1,NA,2,2,2,2,1,1,4,2,1,NA,NA,716.67,0,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-1
2011,BE,64,2,2011,18,6671,2845,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,3825,NA,3,3,3,1,1,1,1,2,1,1,1,5,1800,1,NA,2,2,2,2,3,2,3,1,1,NA,NA,854,0,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-5
2011,BE,72,1,2011,43,16506,14270,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,257,NA,0,0,1612,NA,623,NA,3,3,3,1,1,1,1,1,3,1,1,1,2500,1,NA,2,2,2,2,2,2,6,1,2,470,NA,970,0,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-2
2011,BE,76,2,2011,29,10941,10988,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,33,NA,0,0,0,NA,-47,NA,3,3,NA,2,1,1,1,1,3,1,2,4,2700,2,3,2,2,2,2,4,4,4,1,1,NA,NA,652.11,450,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-3
2011,BE,77,1,2011,14,678,588,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,678,NA,0,0,0,NA,91,NA,3,3,NA,1,1,1,1,1,3,1,3,3,1000,3,NA,2,2,1,1,2,3,5,2,1,NA,NA,730.5,693.57,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-5
2011,BE,82,1,2011,9,5120,-7451,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,5120,NA,0,0,0,NA,12571,NA,NA,3,3,1,1,1,1,1,1,1,1,1,NA,1,2,2,2,2,2,2,2,4,2,1,NA,NA,433.61,0,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-4
2011,BE,86,1,2011,20,94,-110,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,94,NA,0,0,0,NA,204,NA,3,3,NA,1,1,2,1,1,3,1,2,3,1125,2,NA,2,2,2,2,2,1,6,1,1,NA,NA,469.08,0,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-2
2011,BE,113,2,2011,48,996,-809,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,996,NA,0,0,0,NA,1805,NA,3,3,NA,1,1,2,1,1,3,1,1,4,3800,3,2,1,2,2,1,1,1,5,2,1,NA,NA,520.72,802.78,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-3
2011,BE,140,2,2011,29,0,-103,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,97,NA,7,NA,3,3,NA,1,1,1,1,1,1,1,2,5,1700,2,2,2,2,1,2,2,1,5,2,1,NA,NA,283.67,0,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-2
2011,BE,144,2,2011,22,14713,14764,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,97,NA,0,0,0,NA,-51,NA,NA,3,NA,1,1,1,1,1,1,1,2,3,2700,2,NA,2,2,1,2,2,2,6,2,1,NA,NA,608.96,1080,1,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-2
