HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY081N,HY100N,HY131N,HY145N,HY170N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HY170G,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH021,HH030,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HX010,HX040,HX050,HX060,HX070,HX080,HX090,HX120,HC010,HC020,HC030,HC040,HC050,HC060,HC070,HC080,HC090,HC100,HC110,HC120,HC130,HC140,HC150,HC160,DB040,NR_ITW
2012,BE,22,2,2012,32,1044,-5816,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,94,NA,0,NA,0,0,0,NA,6860,NA,3,3,NA,1,1,1,1,1,1,1,1,2,1000,3,3,2,2,2,2,1,1,5,2,1,NA,NA,485.83,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,162,1,1,1,1,1,3,3,1,4,4,3,NA,3,NA,BE10,BE10-3
2012,BE,28,2,2012,14,73366,65279,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,8087,NA,3,3,3,1,1,1,1,1,1,1,1,5,3500,2,NA,2,1,2,2,NA,1,NA,2,1,NA,NA,150,64.08,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,90,NA,1,NA,1,1,3,3,3,1,3,3,NA,3,NA,BE10,BE10-3
2012,BE,36,2,2012,8,38377,100839,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5393,NA,0,NA,0,0,0,NA,-62462,NA,NA,3,NA,1,1,2,1,1,1,1,1,4,2500,3,NA,1,2,2,2,2,3,3,2,1,220,NA,424.89,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,80,1,1,1,1,1,3,4,3,3,4,4,NA,3,NA,BE10,BE10-3
2012,BE,43,4,2012,46,10401,7088,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,3313,NA,0,NA,NA,3,3,2,1,1,1,1,1,1,1,4,NA,2,NA,2,2,2,1,4,3,5,1,1,449,NA,325,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,80,1,1,1,1,1,4,3,4,4,3,3,NA,3,NA,BE10,BE10-3
2012,BE,50,1,2012,21,33793,28507,13635,13635,NA,NA,NA,NA,NA,NA,NA,NA,13635,0,0,0,0,NA,627,NA,0,0,0,NA,5287,NA,NA,3,NA,1,1,1,1,1,1,1,2,4,2500,2,NA,1,1,2,2,4,2,5,2,1,NA,NA,507.88,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,60,NA,1,1,1,1,4,2,2,4,4,3,4,3,NA,BE10,BE10-1
2012,BE,54,2,2012,15,14569,14521,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8129,0,0,NA,0,NA,0,0,0,NA,48,NA,3,3,NA,2,1,2,1,1,1,1,1,5,1500,2,NA,2,2,2,2,1,2,6,2,1,595,NA,826,472.5,1,1,NA,1,1,NA,NA,NA,NA,NA,2,180,1,1,1,1,1,4,3,4,1,4,3,3,3,NA,BE10,BE10-4
2012,BE,65,2,2012,26,0,-40,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,40,NA,NA,3,NA,1,1,1,1,1,1,1,1,5,2500,3,NA,2,1,2,2,1,1,6,2,1,NA,NA,1798.47,1610.62,1,1,NA,1,1,NA,NA,NA,NA,NA,2,88,1,1,1,1,1,4,4,3,4,4,3,NA,3,NA,BE10,BE10-1
2012,BE,73,2,2012,22,19668,19686,9309,9309,NA,NA,NA,NA,NA,NA,NA,NA,9309,0,0,0,0,NA,384,NA,0,0,0,NA,-19,NA,3,3,3,1,1,2,1,1,3,1,1,5,2200,2,NA,2,2,2,2,1,1,4,2,1,NA,NA,446.34,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,180,1,1,1,1,1,3,2,3,1,3,3,NA,3,NA,BE10,BE10-2
2012,BE,77,2,2012,29,3338,3327,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,3338,NA,0,0,0,NA,11,NA,NA,3,NA,1,1,1,1,1,1,1,3,2,1550,2,NA,2,2,2,2,3,2,6,2,1,NA,NA,635.14,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,120,1,1,1,2,1,4,4,1,4,3,3,3,3,NA,BE10,BE10-3
2012,BE,79,2,2012,20,125,97,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,125,NA,0,0,0,NA,28,NA,3,3,NA,1,1,1,1,1,1,1,2,4,1600,2,NA,2,2,2,2,1,5,6,2,1,NA,NA,583,359.25,1,1,NA,1,1,NA,NA,NA,NA,NA,2,150,1,1,1,1,1,4,4,3,2,4,3,2,3,NA,BE10,BE10-5
