HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY030N,HY081N,HY100N,HY131N,HY145N,HY170N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HY170G,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH021,HH030,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HD080,HD100,HD110,HD120,HD140,HD150,HD160,HD170,HD180,HD190,HD200,HD210,HD220,HD240,HX010,HX040,HX050,HX060,HX070,HX080,HX090,HX120,DB040,NR_ITW
2013,BE,22,2,2013,15,11315,8201,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,3113,NA,NA,3,NA,1,1,1,1,1,1,1,1,5,2000,2,NA,2,2,2,2,1,3,6,2,1,700,NA,100,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-4
2013,BE,28,3,2013,25,54790,45289,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,368,NA,0,0,0,NA,9500,NA,NA,3,3,1,1,1,1,1,1,1,2,5,NA,1,2,2,2,2,2,2,1,6,2,2,NA,NA,374,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-3
2013,BE,37,3,2013,25,19325,7539,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,11786,NA,3,3,NA,1,2,1,1,1,1,1,1,3,2200,1,NA,2,2,2,2,2,3,5,1,1,NA,NA,605.5,NA,1,1,1,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-5
2013,BE,43,2,2013,10,29401,26196,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,5703,NA,0,0,4383,NA,-1178,NA,NA,3,3,2,1,1,1,1,1,3,3,4,1300,2,NA,2,2,2,1,1,3,3,1,1,NA,NA,45.66,NA,1,1,3,1,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-5
2013,BE,50,4,2013,14,21333,19339,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,229,NA,0,0,726,NA,1268,NA,3,3,NA,1,1,1,1,1,1,1,1,6,5000,1,NA,2,1,2,1,4,1,6,2,1,NA,NA,427.82,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-1
2013,BE,54,3,2013,20,44276,41065,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,22434,0,0,NA,0,NA,0,0,0,NA,3211,NA,3,3,NA,1,1,1,1,1,1,1,2,3,5000,1,3,2,2,2,2,1,2,4,2,1,NA,NA,620,NA,1,1,1,NA,1,1,NA,NA,1,1,1,NA,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-1
2013,BE,66,2,2013,20,7040,2782,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,4259,NA,3,3,3,1,1,1,1,1,3,1,1,6,5000,1,NA,1,2,2,2,2,3,6,2,1,NA,NA,879,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-4
2013,BE,74,2,2013,21,38540,16662,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,21877,NA,3,3,NA,1,1,1,1,1,1,1,1,3,3500,2,NA,2,2,2,2,1,1,4,2,1,NA,NA,1035,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-2
2013,BE,77,2,2013,14,11110,11021,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,646,NA,0,0,0,NA,89,NA,NA,3,NA,1,1,1,1,1,1,1,1,4,2000,2,NA,1,1,1,2,2,2,6,2,1,NA,NA,335.5,NA,1,1,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-5
2013,BE,79,3,2013,27,49584,47810,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,1774,NA,3,3,NA,1,1,2,1,1,1,1,3,5,3000,2,NA,2,2,2,2,1,2,6,2,1,NA,NA,887.17,NA,1,1,1,NA,NA,NA,NA,1,1,NA,3,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,BE10,BE10-2
