HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY100N,HY145N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY090G,HY100G,HY110G,HY120G,HY130G,HY140G,HS010,HS020,HS030,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH020,HH030,HH040,HH050,HH060,HH061,HH070,HH080,HH090,MH010,MH020,MH030,MH040,MH050,MH060,MH070,MH080,MH090,MH100,MH110,MH120,MH130,MH140,MH150,MH160,HX040,HX050,HX090,HX080,HX060,HX070,HX020,HX010,HY081N,HY131N,HY081G,HY131G,DB040,NR_ITW
2007,RO,50,3,2007,20,2513,2132,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,382,0,0,NA,1,2,2,1,2,1,1,2,1,1,3,638.15,2,NA,2,2,2,2,4,1,4,1,2,NA,NA,28.36,1,1,2,1,1,NA,1,2,NA,2,3,2,2,3,2,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO01,RO01-1
2007,RO,63,3,2007,35,3411,3382,0,0,NA,NA,NA,NA,NA,0,0,9,0,12,0,NA,0,28,0,0,NA,2,NA,1,1,1,1,1,3,1,3,1,79.41,2,NA,2,1,2,2,4,1,1,1,1,NA,85.09,42.54,1,1,2,1,NA,NA,1,2,NA,2,3,3,2,3,3,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO01,RO01-1
2007,RO,83,3,2007,16,1089,950,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,139,0,0,NA,2,1,1,1,2,1,1,2,1,1,3,638.15,2,NA,2,1,1,2,4,1,2,2,1,NA,99.27,56.72,1,1,1,2,2,NA,2,2,NA,2,3,3,3,3,3,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO01,RO01-4
2007,RO,99,3,2007,30,1329,1297,0,0,NA,NA,NA,NA,NA,0,0,44,0,0,0,NA,0,32,0,0,NA,2,NA,2,1,1,2,1,3,1,3,2,155.99,1,NA,2,2,2,1,1,1,3,2,2,NA,56.72,87.92,1,1,2,1,1,NA,2,2,NA,2,2,2,3,3,2,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO01,RO01-1
2007,RO,112,3,2007,10,5246,5243,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3,0,0,NA,2,2,1,1,1,2,1,2,2,2,3,638.15,1,NA,2,2,2,2,1,1,3,2,1,NA,42.54,28.36,2,1,1,1,1,NA,1,2,NA,2,3,2,2,3,2,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO01,RO01-1
2007,RO,124,3,2007,15,3831,913,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,2918,0,0,NA,2,2,2,1,1,2,1,3,2,2,6,212.72,2,NA,1,2,2,2,4,1,3,1,2,NA,42.54,127.63,2,2,2,1,NA,NA,2,2,NA,1,3,3,3,1,3,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO01,RO01-2
2007,RO,144,3,2007,45,1185,1185,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,2,NA,2,2,2,1,2,3,2,2,2,198.54,2,NA,1,1,2,2,1,1,2,2,2,NA,42.54,28.36,2,1,2,1,NA,NA,1,2,NA,2,3,2,3,3,2,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO01,RO01-2
2007,RO,151,3,2007,20,1596,1562,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,34,0,0,NA,2,NA,2,1,2,1,1,1,1,2,1,269.44,1,NA,2,2,2,2,1,1,2,2,1,NA,241.08,36.87,2,2,2,1,1,NA,1,2,NA,3,3,3,3,3,3,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO01,RO01-3
2007,RO,170,3,2007,30,144,123,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,21,0,0,NA,1,NA,2,1,2,1,1,3,1,2,4,538.88,1,NA,1,1,2,1,1,1,4,1,1,NA,70.91,99.27,1,2,2,1,1,NA,1,2,NA,2,2,3,3,3,3,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO01,RO01-5
2007,RO,177,3,2007,15,1655,1649,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,5,0,0,NA,2,NA,2,1,1,1,1,2,1,2,3,212.72,1,NA,2,2,2,1,4,1,2,1,1,NA,141.81,153.16,1,2,2,1,1,NA,1,2,NA,3,3,3,2,3,3,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO01,RO01-3
