HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY081N,HY100N,HY131N,HY145N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HS010,HS011,HS020,HS021,HS030,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH020,HH030,HH040,HH050,HH060,HH061,HH070,HH080,HH081,HH090,HH091,MI010,MI020,MI025,MI026,MI030,MI040,MI045,MI046,MI050,MI051,MI052,MI053,MI054,MI055,MI056,MI057,MI058,MI060,MI065,MI066,MI075,MI076,MI085,MI086,MI090,MI095,MI100,MI110,MI111,MI112,MI113,MI114,MI120,MI121,MI122,MI123,MI124,MI125,HX040,HX050,HX090,HX080,HX060,HX070,HX120,HX010,DB040,NR_ITW
2008,RO,49,2,2008,25,0,-8,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,8,0,NA,0,NA,NA,NA,3,NA,NA,2,1,2,2,1,2,1,1,3,404.76,2,NA,1,2,2,2,3,1,3,1,2,NA,89.95,74.96,2,3,1,1,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,2,2,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,RO01,RO01-1
2008,RO,63,2,2008,20,712,648,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,18,0,0,NA,0,NA,0,64,0,NA,0,NA,NA,NA,1,NA,NA,2,1,1,1,1,3,1,2,3,479.72,2,NA,2,2,2,2,4,1,3,1,1,NA,89.95,104.94,2,1,2,1,2,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,2,NA,NA,NA,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,RO01,RO01-2
2008,RO,83,2,2008,30,12836,12812,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,11962,0,0,NA,0,NA,0,1,0,NA,23,NA,NA,NA,3,NA,NA,1,1,1,1,1,3,1,1,1,749.56,2,NA,2,2,2,2,4,1,3,2,1,NA,74.96,128.92,1,1,1,1,1,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,2,2,NA,2,2,2,1,1,NA,NA,NA,NA,NA,NA,RO01,RO01-3
2008,RO,99,2,2008,20,1579,1351,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,18,0,0,NA,0,NA,0,228,0,NA,0,NA,NA,NA,3,NA,NA,2,1,1,1,1,3,2,2,2,269.84,2,NA,2,1,2,2,4,1,2,2,2,NA,29.98,104.94,2,1,2,1,2,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,4,1,NA,2,2,NA,2,1,1,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,RO01,RO01-2
2008,RO,112,2,2008,12,286,-1228,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1514,0,NA,0,NA,NA,NA,3,NA,3,1,1,1,1,1,2,1,1,5,861.99,2,2,2,2,2,2,4,1,2,2,1,NA,299.82,134.92,1,1,1,1,2,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,2,NA,NA,2,NA,2,1,1,NA,NA,NA,NA,NA,NA,RO01,RO01-4
2008,RO,124,2,2008,20,3073,3043,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,2,0,NA,28,NA,NA,NA,1,NA,NA,2,2,1,1,1,2,1,2,2,704.58,2,NA,2,2,2,2,4,1,3,2,2,NA,119.93,239.86,1,3,1,3,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,4,2,NA,NA,2,NA,2,1,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,RO01,RO01-4
2008,RO,144,2,2008,15,1212,1200,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,13,0,NA,0,NA,NA,NA,3,NA,NA,2,1,1,1,1,1,1,2,1,539.68,2,NA,2,2,2,1,3,1,3,2,1,NA,119.93,104.94,2,1,1,1,2,NA,NA,NA,2,2,NA,NA,2,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,1,1,NA,2,NA,2,NA,NA,2,2,2,1,1,NA,NA,NA,NA,NA,NA,RO01,RO01-4
2008,RO,150,2,2008,25,2547,2533,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,389,NA,0,NA,0,14,0,NA,0,NA,NA,NA,3,NA,NA,2,1,1,1,1,1,1,2,3,787.04,2,NA,1,2,2,1,4,1,4,2,1,NA,299.82,104.94,1,1,2,1,2,2,NA,NA,2,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,2,1,1,NA,NA,NA,2,2,1,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,RO01,RO01-5
2008,RO,169,2,2008,30,266,-531,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,42,NA,0,NA,0,796,0,NA,0,NA,NA,NA,2,NA,NA,1,1,2,1,1,2,1,2,2,599.65,2,NA,2,2,2,2,1,1,2,2,1,NA,89.95,74.96,2,3,1,1,2,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,8,1,NA,NA,NA,NA,NA,2,2,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,RO01,RO01-5
2008,RO,177,2,2008,20,873,628,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,245,0,NA,0,NA,NA,NA,3,NA,NA,1,1,2,1,1,3,1,2,1,149.91,2,NA,2,1,1,1,4,1,4,2,1,NA,44.97,74.96,2,3,2,1,1,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,2,2,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,RO01,RO01-5
