HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY081N,HY100N,HY131N,HY145N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HS010,HS011,HS020,HS021,HS030,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH020,HH030,HH040,HH050,HH060,HH061,HH070,HH080,HH081,HH090,HH091,HD010,HD020,HD025,HD030,HD035,HD040,HD050,HD060,HD070,HD080,HD090,HD100,HD110,HD120,HD130,HD140,HD150,HD160,HD170,HD180,HD190,HD200,HD210,HD220,HD230,HD240,HD250,HD255,HD260,HD265,HX040,HX050,HX090,HX080,HX060,HX070,HX120,HX010,DB040,NR_ITW
2009,RO,37,2,2009,10,1824,1800,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,37,0,0,NA,0,NA,0,24,0,NA,0,NA,NA,NA,3,NA,NA,2,1,1,1,1,3,1,2,2,488.79,2,3,2,1,2,2,1,1,3,2,1,NA,108.62,40.73,1,1,2,3,1,2,NA,2,45,4,4,3,2,2,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-2
2009,RO,48,2,2009,15,1570,1458,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,112,0,NA,0,NA,NA,NA,3,NA,NA,2,1,1,3,1,2,1,2,2,780.7,1,NA,2,1,1,2,4,1,4,2,1,NA,40.73,103.19,1,1,1,3,1,2,NA,2,38,4,3,2,3,2,3,NA,NA,1,NA,2,1,1,2,NA,1,NA,3,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-4
2009,RO,63,2,2009,15,4533,3257,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1277,0,NA,0,NA,NA,NA,2,NA,NA,2,1,2,1,1,1,1,2,2,882.53,2,NA,2,2,1,1,4,1,6,2,1,NA,13.58,122.2,1,1,1,3,1,2,NA,1,30,3,3,2,2,2,3,1,1,2,1,1,2,3,1,3,1,1,1,NA,2,NA,1,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-5
2009,RO,74,2,2009,10,0,-6,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,6,0,NA,0,NA,NA,NA,3,NA,NA,2,1,1,1,1,3,1,2,2,882.53,1,NA,2,2,2,2,1,4,2,1,2,NA,244.39,95.04,1,1,2,1,2,2,NA,2,35,4,3,2,3,2,2,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-2
2009,RO,85,2,2009,25,2203,2189,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,580,0,0,NA,0,NA,0,2,0,NA,12,NA,NA,NA,3,NA,NA,2,1,1,1,1,1,2,1,1,950.42,2,NA,2,2,2,2,1,1,4,2,1,NA,217.24,108.62,1,1,1,1,1,2,NA,1,54,4,3,2,4,3,3,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-2
2009,RO,94,2,2009,25,1764,1490,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,274,0,NA,0,NA,NA,NA,3,NA,NA,1,1,1,1,1,1,1,1,3,780.7,2,NA,2,1,1,2,1,1,3,2,1,NA,271.55,95.04,1,3,2,1,1,2,NA,2,49,4,1,NA,3,2,1,1,1,1,1,1,1,2,1,2,1,2,1,NA,2,1,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-2
2009,RO,114,2,2009,30,0,-6,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,6,0,NA,0,NA,NA,NA,3,NA,NA,2,1,2,2,1,1,2,1,2,543.09,1,NA,2,1,2,2,1,1,3,1,1,NA,67.89,95.04,1,3,2,1,2,2,NA,1,28,4,4,4,3,2,1,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-4
2009,RO,128,2,2009,20,0,-1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1,0,NA,0,NA,NA,NA,3,NA,2,2,2,1,1,1,3,1,2,2,488.79,2,NA,2,1,1,1,4,1,3,2,1,NA,81.46,67.89,2,1,1,1,1,2,NA,2,30,3,4,4,3,2,1,NA,NA,NA,NA,1,1,NA,NA,2,3,1,NA,1,NA,2,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-2
2009,RO,134,2,2009,30,1869,1625,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,244,0,NA,0,NA,NA,NA,2,NA,3,1,1,2,1,1,1,1,1,3,780.7,2,NA,2,1,1,2,4,1,2,2,1,NA,81.46,122.2,2,3,2,1,1,2,NA,2,32,4,3,3,3,2,1,1,1,NA,1,1,1,2,2,2,1,1,1,NA,1,2,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-4
2009,RO,137,2,2009,10,1693,1669,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,753,0,0,NA,0,NA,0,24,0,NA,0,NA,NA,NA,3,NA,NA,2,1,2,2,1,1,1,2,3,135.77,3,NA,2,1,1,2,1,1,2,2,1,NA,103.19,27.15,2,3,1,1,2,2,NA,2,49,4,2,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-5
2009,RO,146,NA,2009,30,2081,1759,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,322,0,NA,0,NA,NA,NA,3,NA,NA,2,1,1,1,1,1,1,1,1,780.7,1,NA,2,1,2,2,2,1,3,2,1,NA,190.08,108.62,1,1,1,1,1,2,NA,2,26,4,3,4,2,2,3,1,1,1,1,1,1,1,3,2,1,2,1,2,2,1,2,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-4
2009,RO,155,2,2009,10,3452,3446,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,6,NA,NA,NA,3,NA,1,2,2,2,1,1,1,1,2,5,638.14,1,NA,2,1,2,2,1,1,2,2,1,NA,35.3,67.89,1,1,1,1,2,2,NA,2,42,3,4,4,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-4
2009,RO,195,2,2009,20,4789,2899,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1890,0,NA,0,NA,NA,NA,3,NA,3,1,1,1,1,1,1,1,1,4,882.53,2,NA,2,1,2,2,4,1,6,2,1,NA,108.62,114.05,2,1,1,3,1,2,NA,2,60,3,4,4,3,2,1,2,1,1,1,1,1,2,2,3,1,3,3,2,2,3,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-4
2009,RO,202,2,2009,20,2573,2558,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,16,0,NA,0,NA,NA,NA,3,NA,NA,2,1,1,1,1,2,1,1,4,712.81,2,NA,2,2,1,1,1,1,3,2,1,NA,325.86,95.04,2,3,2,1,2,2,NA,2,55,3,4,3,3,1,1,1,2,NA,1,1,2,2,1,1,1,1,3,NA,1,1,NA,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-2
2009,RO,247,2,2009,45,8884,7803,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1365,0,0,NA,0,NA,0,33,0,NA,1048,NA,3,NA,3,NA,NA,1,1,1,1,1,1,1,2,2,461.63,2,NA,2,2,2,1,4,1,2,1,1,NA,NA,149.35,1,1,1,1,1,2,NA,1,56,3,3,2,3,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,3,2,NA,NA,1,3,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-4
2009,RO,260,2,2009,40,2022,1967,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,54,0,NA,0,NA,NA,NA,3,NA,NA,1,1,2,1,1,1,1,3,4,488.79,2,NA,2,1,2,2,1,1,3,2,1,NA,149.35,27.15,1,3,2,1,2,2,NA,2,42,4,4,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-1
2009,RO,273,2,2009,20,1717,1357,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,19,0,0,NA,0,NA,0,360,0,NA,0,NA,NA,NA,3,NA,NA,2,2,2,1,1,3,1,1,3,814.64,2,NA,2,1,1,1,3,1,3,2,1,NA,40.73,8.15,1,1,2,3,1,2,NA,2,48,3,4,3,3,3,3,NA,1,1,1,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,RO11,RO11-4
