HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY081N,HY100N,HY131N,HY145N,HY170N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HY170G,HS010,HS011,HS020,HS021,HS030,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH020,HH021,HH030,HH040,HH050,HH060,HH061,HH070,HH071,HH080,HH081,HH090,HH091,HA010,HA020,HA030,HA040,HA050,HA060,HA070,HX040,HX050,HX090,HX080,HX060,HX070,HX120,HX010,R_HA030,R_HA040,R_HA050,R_HA060,R_HA070,DB040,NR_ITW
2010,RO,37,2,2010,10,3006,2898,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,108,0,NA,0,NA,NA,NA,NA,3,NA,3,2,1,1,1,1,1,1,1,3,377.37,3,NA,2,2,2,2,3,NA,1,3,2,1,NA,23.59,106.13,0,1,1,1,1,2,1,129826601,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-5
2010,RO,48,2,2010,15,2749,876,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1873,0,NA,0,NA,NA,NA,NA,3,NA,NA,2,1,2,1,1,3,1,3,1,424.54,2,NA,2,1,2,2,1,NA,1,2,1,1,NA,117.93,23.59,0,1,3,1,3,1,1,22535002,47709802,26148705,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-1
2010,RO,63,2,2010,30,1777,979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,798,0,NA,0,NA,NA,NA,NA,3,NA,1,2,1,1,1,1,1,1,3,3,271.23,1,NA,2,2,2,1,4,NA,1,2,2,2,23.59,70.76,84.91,0,2,1,2,3,NA,1,20899601,240257202,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-1
2010,RO,74,2,2010,20,3294,3059,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,235,0,NA,0,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,3,1,2,3,589.64,2,NA,2,2,2,2,4,NA,1,1,2,1,NA,283.03,82.55,0,2,3,1,1,NA,NA,131275401,81387902,100123203,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-2
2010,RO,85,2,2010,30,35494,34899,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,595,0,NA,0,NA,NA,NA,NA,3,NA,NA,1,1,1,1,1,2,1,2,3,318.4,1,NA,2,1,2,2,1,NA,1,3,2,1,NA,165.1,82.55,0,1,1,1,3,1,NA,267782401,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-4
2010,RO,93,2,2010,15,1618,1463,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,156,0,NA,0,NA,NA,NA,NA,3,NA,NA,2,1,1,1,1,1,1,1,1,176.89,1,2,1,1,2,2,4,NA,1,2,1,1,NA,47.17,58.96,0,2,1,1,3,1,1,93459401,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-3
2010,RO,113,2,2010,40,1254,1102,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,NA,0,NA,0,152,0,NA,0,NA,NA,NA,NA,3,NA,NA,2,2,2,1,1,3,1,2,3,424.54,2,NA,2,2,2,2,4,NA,1,2,2,1,NA,188.68,73.11,0,1,3,1,3,NA,1,53363201,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-5
2010,RO,127,2,2010,20,1631,1535,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,21,0,0,NA,0,NA,0,96,0,NA,0,NA,NA,NA,NA,3,NA,1,1,1,2,1,1,1,1,1,3,377.37,1,NA,2,1,2,2,3,NA,1,3,2,1,NA,58.96,58.96,0,1,1,1,3,NA,NA,100749501,80681802,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-2
2010,RO,133,2,2010,25,1007,1007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,133,0,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,NA,2,NA,NA,2,1,1,1,1,2,1,1,4,271.23,2,NA,2,1,1,2,4,NA,1,2,2,1,NA,23.59,200.48,0,1,1,2,1,1,1,136637801,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-2
2010,RO,136,2,2010,20,891,756,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,135,0,NA,0,NA,NA,NA,NA,3,NA,3,2,1,1,1,1,2,1,1,3,129.72,2,NA,2,2,2,2,4,NA,1,1,2,1,NA,353.78,47.17,0,1,3,2,3,1,NA,9885001,134737302,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-4
2010,RO,145,2,2010,21,7066,5518,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,334,0,1336,NA,0,NA,0,1548,0,NA,0,NA,NA,NA,NA,3,NA,3,1,1,1,1,1,1,1,1,3,424.54,2,1,2,2,1,2,4,NA,1,4,2,1,NA,94.34,106.13,0,1,1,1,1,1,1,11582701,11582702,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-5
2010,RO,154,2,2010,15,0,-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1,0,NA,21,NA,NA,NA,NA,3,NA,NA,2,1,2,1,1,3,1,1,1,589.64,2,NA,2,2,2,2,4,NA,1,2,2,1,NA,47.17,58.96,0,1,1,2,1,1,1,NA,205789802,58355905,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-5
2010,RO,194,2,2010,25,2809,1433,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1376,0,NA,0,NA,NA,3,NA,3,NA,NA,2,1,2,1,1,1,1,2,1,613.22,1,1,2,1,1,2,4,NA,1,4,1,1,NA,353.78,82.55,0,1,1,1,1,1,1,32170101,67797102,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-1
2010,RO,201,2,2010,30,1149,1131,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1,0,NA,17,NA,NA,3,NA,3,NA,3,2,1,1,1,1,3,1,1,2,200.48,2,NA,2,2,2,2,1,NA,1,4,2,1,NA,35.38,58.96,0,1,1,2,3,1,1,117032101,123920202,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-3
2010,RO,246,2,2010,15,864,580,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,6,0,NA,278,NA,NA,NA,NA,3,NA,NA,2,1,2,1,1,1,1,1,1,424.54,3,NA,2,2,2,2,4,NA,1,3,2,1,NA,23.59,106.13,0,1,1,1,1,2,NA,39076501,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-3
2010,RO,258,2,2010,20,5240,2871,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,2370,0,NA,0,NA,NA,NA,NA,3,NA,NA,1,1,1,1,1,1,1,2,5,129.72,1,NA,2,2,2,1,1,NA,1,3,2,1,NA,42.45,82.55,0,2,3,1,1,2,1,95267401,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-1
2010,RO,271,2,2010,23,2264,2246,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1,0,NA,17,NA,NA,3,NA,1,NA,2,2,2,1,1,2,1,1,2,1,176.89,1,NA,1,1,2,1,1,NA,4,3,2,2,NA,94.34,106.13,23.35,1,1,1,3,1,1,125225101,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO11,RO11-1
