HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY081N,HY100N,HY131N,HY145N,HY170N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HY170G,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH021,HH030,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HX010,HX040,HX050,HX060,HX070,HX080,HX090,HX120,DB040,NR_ITW
2011,RO,38,2,2011,15,0,-6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1,0,NA,5,NA,NA,3,NA,1,1,1,1,1,3,1,1,2,89.03,2,NA,2,2,2,2,1,1,3,1,1,NA,106.83,59.35,0,1,3,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-5
2011,RO,49,2,2011,12,3817,2885,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,931,0,NA,0,NA,NA,3,NA,1,1,1,1,1,1,1,1,4,445.14,1,NA,2,2,1,2,1,1,2,2,1,NA,118.7,166.18,0,1,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-2
2011,RO,64,2,2011,30,4086,2239,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,132,0,NA,1716,NA,NA,1,NA,1,1,1,1,1,1,1,1,5,712.22,1,NA,2,2,2,2,4,1,2,2,1,NA,237.41,154.31,0,1,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-4
2011,RO,75,2,2011,30,1240,1240,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA,NA,3,NA,2,1,2,1,1,1,2,2,1,771.57,1,NA,2,2,1,2,1,1,3,2,1,NA,47.48,35.61,0,1,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-3
2011,RO,86,2,2011,10,3258,2927,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,15,0,NA,316,NA,NA,3,NA,2,1,1,1,1,1,3,1,3,635.06,1,NA,2,1,1,2,1,1,3,1,1,NA,118.7,0,0,3,3,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-4
2011,RO,95,2,2011,25,1278,1256,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1,0,NA,21,NA,NA,3,NA,2,1,2,1,1,3,2,2,2,445.14,1,NA,2,2,1,2,1,1,2,2,1,NA,47.48,261.15,0,3,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-4
2011,RO,115,2,2011,15,5130,4211,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,42,0,NA,877,NA,NA,2,NA,1,1,2,1,1,1,1,2,1,712.22,2,NA,2,2,1,2,4,1,2,1,1,189.92,47.48,118.7,0,1,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-5
2011,RO,129,2,2011,20,2206,2202,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,3,0,NA,0,NA,NA,3,NA,2,2,2,1,1,3,1,1,2,563.84,1,1,2,2,2,2,1,1,2,2,1,19.7,83.09,71.22,0,1,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-5
2011,RO,135,2,2011,60,2474,2020,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,114,0,0,NA,0,NA,0,454,0,NA,0,NA,NA,2,NA,2,2,2,1,1,1,1,2,3,771.57,1,2,2,2,2,1,1,1,3,2,1,NA,118.7,118.7,0,3,3,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-4
2011,RO,139,2,2011,30,1634,1489,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,145,0,NA,0,NA,NA,3,NA,2,2,1,1,1,1,1,1,2,771.57,1,NA,2,2,2,2,4,1,5,2,2,NA,273.02,0,19.94,1,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-4
2011,RO,148,2,2011,25,3236,-3653,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,445,0,NA,6445,NA,NA,3,NA,2,1,1,1,1,1,1,2,4,949.62,1,NA,1,2,2,1,1,1,3,2,2,NA,118.7,0,0,1,1,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-2
2011,RO,157,2,2011,12,1822,1801,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,131,0,0,NA,0,NA,0,21,0,NA,0,NA,NA,3,NA,2,2,2,1,1,2,1,1,4,682.54,1,NA,2,2,2,1,1,1,2,1,1,NA,47.48,118.7,0,3,3,NA,1,1,NA,NA,NA,NA,NA,RO11,RO11-2
