PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL030,PL035,PL015,PL020,PL025,PL040,PL050,PL060,PL070,PL072,PL100,PL110,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PL210A,PL210B,PL210C,PL210D,PL210E,PL210F,PL210G,PL210H,PL210I,PL210J,PL210K,PL210L,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY070N,PY010G,PY020G,PY035G,PY050G,PY070G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PX030,PX040,PX020,PX050,PX010,DB040,NR_ITW
2004,BE,201,677.291381668947,NA,3,2004,18,1,1979,1,2,1,BE,2,NA,5,1,1,1,2,NA,3,NA,NA,12,12,NA,l-n,NA,NA,NA,2,NA,NA,NA,16,6,5,1,6,6,NA,1,1,2,2,5,1,3,1,2,2,NA,2,NA,0,0,1,11904,0,0,0,1,0,0,0,0,0,0,0,1300,20,1,24,1,1,BE10,BE10-2
2004,BE,261,677.291381668947,NA,4,2004,35,4,1967,1,2,NA,Other,1,NA,0,1,NA,NA,2,NA,3,7,40,12,0,NA,b-e,NA,13,NA,2,NA,NA,NA,19,2,6,1,1,1,2,3,1,6,1,6,1,4,2,3,2,NA,2,NA,0,0,1,20529,0,0,0,1,0,0,0,0,0,0,0,1300,26,1,36,1,1,BE10,BE10-3
2004,BE,331,677.291381668947,NA,4,2004,11,2,1980,1,1,2,BE,2,NA,5,1,1,1,2,NA,NA,3,NA,0,0,NA,g,NA,NA,1,NA,NA,NA,NA,14,6,5,1,3,6,6,1,6,6,2,2,6,2,2,1,2,NA,2,NA,0,0,1,18324,0,0,0,1,0,0,0,0,0,0,0,774,33,1,23,4,1,BE10,BE10-3
2004,BE,391,677.291381668947,NA,4,2004,20,1,1985,2,NA,2,Other,2,NA,2,4,NA,2,2,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,7,7,7,8,7,7,7,7,8,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1300,39,1,18,3,1,BE10,BE10-4
2004,BE,451,677.291381668947,NA,4,2004,15,1,1965,2,2,1,BE,2,NA,5,8,NA,2,NA,NA,3,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,7,8,8,7,8,8,8,7,7,3,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,860,45,1,38,2,1,BE10,BE10-1
2004,BE,491,677.291381668947,NA,3,2004,3,1,1947,1,5,1,BE,2,NA,5,4,NA,1,NA,1,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,8,7,7,7,8,8,7,8,8,2,2,1,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1300,49,1,56,4,1,BE10,BE10-4
2004,BE,601,677.291381668947,NA,4,2004,17,2,1931,2,2,1,BE,2,NA,3,5,NA,1,NA,NA,3,4,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,2,8,5,6,6,6,6,6,8,2,6,3,1,2,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,8266,0,0,0,0,497,60,1,72,1,1,BE10,BE10-4
2004,BE,661,677.291381668947,NA,4,2004,20,3,1926,2,2,1,BE,2,NA,2,5,NA,NA,2,NA,3,4,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,15,1,2,6,6,3,1,6,6,6,6,8,8,4,1,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,14676,0,0,0,0,725,66,1,77,3,1,BE10,BE10-5
2004,BE,701,677.291381668947,NA,4,2004,15,2,1954,1,2,3,BE,2,NA,3,1,1,NA,NA,NA,2,4,NA,12,0,NA,i,NA,2,1,2,2,NA,NA,24,1,1,1,3,1,1,1,2,1,1,1,1,2,2,3,2,NA,1,NA,0,0,1,31724,0,0,0,1,0,0,0,0,0,0,0,1300,70,1,49,1,1,BE10,BE10-2
2004,BE,711,677.291381668947,NA,3,2004,11,1,1948,2,5,1,BE,2,NA,3,1,1,NA,NA,NA,3,4,38,12,0,48,j,NA,14,NA,NA,2,NA,NA,19,1,1,5,6,1,1,1,1,1,1,1,1,2,1,3,2,NA,2,NA,0,0,1,43997,0,0,0,1,0,0,0,0,0,0,0,359,71,1,55,1,1,BE10,BE10-3
