PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL030,PL035,PL015,PL020,PL025,PL040,PL050,PL060,PL070,PL072,PL100,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PL210A,PL210B,PL210C,PL210D,PL210E,PL210F,PL210G,PL210H,PL210I,PL210J,PL210K,PL210L,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY070N,PY010G,PY020G,PY035G,PY050G,PY070G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PS005,PS010,PS020,PS030,PS040,PS050,PS060,PS070,PS080,PS090,PS100,PS110,PS120,PS130,PS140,PS150,PS160,PX030,PX040,PX020,PX050,PX010,PL110,DB040,NR_ITW
2006,BE,201,628.125,NA,3,2006,17,4,1974,1,2,1,Other,2,NA,1,3,NA,NA,2,NA,3,9,32,0,0,NA,NA,NA,1,2,2,NA,3,21,NA,1,1,2,6,6,5,6,7,8,6,5,1,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,12819,0,0,0,0,0,1,816.5373,1,2,1,1,1,2,3,2,1,2,NA,2,NA,2,2,2,20,1,31,1,1,NA,BE10,BE10-3
2006,BE,261,628.125,NA,4,2006,12,4,1940,2,4,3,Other,2,5,NA,8,NA,1,2,NA,2,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,8,7,8,6,8,8,7,7,7,3,2,1,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,429.9703,1,2,2,1,1,2,2,1,1,2,NA,2,NA,1,2,2,26,1,65,4,1,NA,BE10,BE10-1
2006,BE,341,628.125,NA,4,2006,10,2,1926,2,4,1,BE,2,NA,5,5,NA,NA,2,NA,3,4,36,12,0,NA,NA,13,1,2,2,NA,NA,18,3,2,1,1,1,1,1,2,6,1,6,1,3,2,1,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,23017,0,0,0,0,1,687.6943,1,1,1,2,2,1,3,2,1,2,NA,2,NA,2,2,2,34,1,79,1,1,NA,BE10,BE10-3
2006,BE,401,628.125,NA,3,2006,11,4,1977,2,1,3,BE,2,NA,3,1,NA,NA,NA,NA,3,2,38,12,0,NA,5,1,1,2,2,NA,NA,22,1,1,1,2,1,3,1,6,6,6,6,1,2,2,3,2,NA,2,NA,0,0,1,25035,0,0,0,1,0,0,0,0,0,0,0,1,575.4536,4,1,2,1,2,2,1,5,1,2,NA,2,NA,2,2,2,40,1,28,4,1,f,BE10,BE10-2
2006,BE,461,628.125,NA,4,2006,16,4,1925,1,2,3,BE,1,NA,1,5,NA,2,2,NA,NA,0 - 1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,8,7,7,8,7,7,6,8,7,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,826.1214,3,2,1,1,2,2,2,1,1,2,NA,2,NA,2,2,2,46,1,80,1,1,NA,BE10,BE10-3
2006,BE,501,628.125,NA,4,2006,5,1,1965,1,2,3,BE,2,NA,4,9,NA,1,2,NA,3,3,NA,0,0,NA,NA,NA,1,NA,NA,NA,11,18,6,6,6,6,6,6,6,5,5,6,6,6,2,1,3,2,NA,2,NA,0,0,1,0,0,0,2418,1,0,0,0,0,887,0,0,1,586.388,1,2,1,2,2,2,2,2,1,2,NA,1,NA,2,2,2,50,1,40,1,1,NA,BE10,BE10-4
2006,BE,611,628.125,NA,4,2006,7,4,1951,1,2,1,BE,2,5,1,3,NA,NA,2,NA,NA,5,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,18,7,3,8,8,3,6,7,8,7,NA,7,8,1,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,40565,0,0,0,0,0,1,905.8088,1,5,3,1,2,4,1,5,1,2,NA,2,NA,2,2,1,61,1,54,1,1,NA,BE10,BE10-4
2006,BE,681,628.125,NA,4,2006,12,4,1971,1,1,3,EU,2,NA,4,2,NA,NA,NA,NA,3,5,42,12,0,5,NA,13,1,1,2,NA,10,29,2,1,1,1,1,1,5,1,6,1,1,1,2,2,3,2,NA,2,NA,0,0,1,33903,0,0,0,1,0,0,0,0,0,0,0,1,621.5058,2,1,2,5,4,2,2,4,1,2,NA,2,NA,1,1,2,68,1,34,4,1,b-e,BE10,BE10-4
2006,BE,711,628.125,NA,4,2006,16,3,1929,1,2,1,BE,2,NA,2,5,NA,1,2,NA,NA,9,NA,0,0,NA,NA,11,NA,1,2,NA,NA,18,6,6,6,4,5,5,6,6,6,6,5,6,2,2,3,2,NA,2,NA,0,0,1,8891,0,0,0,1,0,0,2216,0,0,0,0,1,673.5495,1,3,1,1,1,1,1,2,1,2,NA,2,NA,2,2,2,71,1,76,1,1,NA,BE10,BE10-2
2006,BE,731,628.125,NA,3,2006,35,1,1944,1,1,3,BE,2,NA,3,5,NA,NA,2,NA,3,2,NA,12,0,NA,NA,13,1,2,NA,NA,NA,18,5,5,5,1,6,6,6,3,6,1,1,1,3,2,2,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,20316,0,0,0,0,1,1024.586,1,1,1,2,2,2,NA,2,1,2,NA,2,NA,2,2,2,73,1,61,3,1,NA,BE10,BE10-4
2006,BE,761,628.125,NA,3,2006,18,1,1967,2,4,1,Other,2,3,NA,8,NA,2,2,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,8,8,7,7,8,8,7,7,7,2,1,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,941.8904,1,3,2,1,2,1,2,2,1,2,NA,2,NA,1,2,2,76,1,38,4,1,NA,BE10,BE10-3
2006,BE,811,628.125,NA,4,2006,15,3,1939,2,4,3,BE,2,NA,1,5,NA,1,NA,NA,3,9,38,12,0,NA,NA,8,1,2,NA,NA,NA,14,8,1,1,1,1,1,6,1,2,1,1,2,2,1,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,23015,0,0,0,0,1,722.5219,2,3,1,3,2,3,2,2,1,2,NA,2,NA,2,2,2,81,1,66,3,1,NA,BE10,BE10-2
2006,BE,1061,628.125,NA,3,2006,22,2,1925,2,2,3,BE,2,NA,5,5,NA,NA,NA,NA,3,0 - 1,NA,0,0,NA,NA,13,NA,2,2,1,NA,18,6,7,7,2,6,6,6,8,8,3,NA,5,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,11829,0,0,0,0,1,732.4992,3,1,1,1,2,2,1,2,1,2,NA,2,NA,2,2,2,106,1,80,2,1,NA,BE10,BE10-4
2006,BE,1311,628.125,NA,NA,2006,5,4,1984,1,2,1,BE,2,NA,1,3,NA,1,NA,NA,3,NA,NA,0,0,NA,4,NA,1,2,NA,NA,NA,19,8,3,6,6,6,8,6,1,4,2,6,8,2,2,3,2,NA,1,NA,0,0,1,0,0,0,0,1,0,14444,0,0,0,0,0,1,755.6232,1,2,3,1,3,2,1,2,2,1,NA,2,NA,2,2,2,131,1,21,4,1,NA,BE10,BE10-4
2006,BE,1471,628.125,NA,4,2006,6,1,1937,1,5,1,BE,2,NA,5,5,NA,1,2,NA,3,2,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,26,6,6,7,5,3,5,6,2,6,7,8,6,3,2,2,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,8558,0,0,0,0,1,571.8748,1,3,1,1,5,2,2,1,1,2,NA,2,NA,2,2,2,147,1,68,4,1,NA,BE10,BE10-3
2006,BE,2051,628.125,NA,4,2006,6,3,1972,2,3,3,Other,2,NA,5,1,NA,NA,NA,NA,3,2,NA,12,0,NA,NA,NA,1,2,2,NA,NA,23,1,1,2,1,6,2,1,1,2,1,1,1,1,2,3,2,NA,2,NA,0,0,1,20875,0,0,0,1,0,0,0,0,0,0,0,1,599.2339,4,2,1,1,3,4,2,5,2,2,NA,2,NA,2,NA,2,205,1,33,1,1,p-q,BE10,BE10-3
2006,BE,2241,628.125,NA,4,2006,8,2,1925,2,2,1,BE,2,NA,NA,5,NA,NA,2,NA,2,NA,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,19,6,6,6,4,8,5,5,6,6,6,6,5,2,1,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,8710,0,0,0,0,1,1197.284,1,1,2,1,2,2,2,1,1,2,NA,2,NA,1,2,2,224,1,80,1,1,NA,BE10,BE10-2
2006,BE,2581,628.125,NA,3,2006,26,3,1934,1,2,1,Other,2,NA,NA,5,NA,2,2,NA,NA,9,NA,0,0,NA,NA,1,2,2,NA,NA,NA,18,8,7,5,1,7,8,6,5,8,5,5,1,4,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,7861,0,0,0,0,1,930.2378,1,2,5,3,2,6,2,2,1,2,NA,2,NA,2,2,2,258,1,71,4,1,NA,BE10,BE10-3
2006,BE,2761,628.125,NA,3,2006,14,4,1925,1,2,1,BE,2,NA,5,5,NA,1,NA,NA,3,2,38,12,0,NA,NA,13,1,2,2,NA,NA,14,5,1,6,3,2,1,1,1,2,2,1,1,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,28510,0,0,0,0,1,773.0554,3,1,3,2,1,2,2,2,1,2,NA,1,NA,2,2,2,276,1,80,1,1,NA,BE10,BE10-3
2006,BE,2781,628.125,NA,3,2006,17,4,1960,1,1,3,EU,2,NA,3,1,NA,NA,NA,NA,3,2,NA,0,0,NA,NA,11,1,2,NA,NA,NA,18,2,1,1,4,1,6,1,1,1,1,1,1,2,2,3,2,NA,2,NA,0,0,1,28469,0,0,0,1,0,0,0,0,0,0,0,1,939.4417,3,1,2,NA,5,2,2,4,2,2,NA,2,NA,2,2,2,278,1,45,3,1,o,BE10,BE10-2
2006,BE,2891,628.125,NA,4,2006,11,1,1936,2,1,1,BE,1,NA,5,5,NA,1,1,NA,3,3,NA,12,0,NA,NA,11,2,2,NA,NA,NA,14,2,6,6,6,8,5,6,6,3,5,6,2,2,2,1,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,4675,0,0,0,0,1,918.8322,1,1,1,1,2,2,2,6,2,2,NA,1,NA,1,2,2,289,1,69,1,1,NA,BE10,BE10-3
