PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL030,PL035,PL015,PL020,PL025,PL040,PL050,PL060,PL070,PL072,PL100,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PL210A,PL210B,PL210C,PL210D,PL210E,PL210F,PL210G,PL210H,PL210I,PL210J,PL210K,PL210L,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY070N,PY010G,PY020G,PY021G,PY030G,PY035G,PY050G,PY070G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PX030,PX040,PX020,PX050,PX010,PY031G,PL110,DB040,NR_ITW
2007,BE,201,590.128504672897,NA,4,2007,7,3,1947,2,1,1,BE,2,NA,5,1,1,NA,NA,NA,3,4,45,12,0,NA,NA,13,NA,1,2,NA,NA,21,1,2,1,1,1,2,1,1,1,3,1,1,1,2,3,2,NA,2,NA,0,0,0,82020,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20,1,59,1,1,1,l-n,BE10,BE10-2
2007,BE,261,590.128504672897,NA,2,2007,9,1,1945,2,2,1,BE,1,NA,NA,8,NA,2,2,NA,3,NA,NA,0,0,NA,NA,NA,NA,2,NA,1,NA,NA,7,6,7,7,8,7,8,1,7,7,7,8,3,2,3,2,NA,2,NA,240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,26,1,61,1,1,1,NA,BE10,BE10-3
2007,BE,341,590.128504672897,NA,2,2007,9,2,1963,1,5,1,Other,2,NA,2,9,1,NA,NA,NA,3,8,22,12,0,NA,NA,12,1,2,2,NA,NA,19,1,1,6,1,6,3,1,1,1,1,8,6,2,2,3,2,NA,2,NA,0,0,0,0,0,0,2815,0,0,0,0,25791,0,0,0,0,0,1,34,1,43,4,1,1,NA,BE10,BE10-5
2007,BE,401,590.128504672897,NA,2,2007,6,3,1973,2,2,3,Other,2,5,1,8,NA,1,2,NA,3,9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,6,7,8,8,6,8,7,8,7,7,2,1,1,2,NA,2,NA,0,0,0,0,0,0,2102,0,0,0,0,0,0,0,0,0,0,1,40,1,33,3,1,1,NA,BE10,BE10-5
2007,BE,461,590.128504672897,NA,2,2007,23,3,1967,1,2,1,BE,2,NA,5,1,1,NA,NA,NA,3,2,60,10,0,NA,NA,NA,1,2,2,NA,NA,25,1,1,1,8,1,1,1,1,1,1,1,1,2,2,3,2,NA,2,NA,0,0,0,0,0,0,2204,0,95014,0,0,0,0,0,0,0,0,1,46,1,39,1,1,1,l-n,BE10,BE10-2
2007,BE,501,590.128504672897,NA,2,2007,9,1,1938,2,2,3,BE,2,NA,NA,5,NA,1,2,NA,3,7,NA,0,0,NA,NA,NA,1,2,NA,1,NA,13,8,8,5,6,7,5,6,3,6,6,1,6,2,2,3,2,NA,2,NA,0,0,0,0,0,0,260,0,0,0,0,0,6924,0,0,0,0,1,50,1,68,1,1,1,NA,BE10,BE10-2
2007,BE,611,590.128504672897,NA,2,2007,9,1,1947,1,2,1,BE,2,NA,2,6,NA,2,2,NA,3,7,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,22,5,6,5,7,6,5,6,6,6,2,7,6,2,2,3,2,NA,2,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8331,0,1,61,1,59,3,1,1,NA,BE10,BE10-3
2007,BE,681,590.128504672897,NA,2,2007,18,3,1929,1,1,3,BE,2,NA,NA,5,NA,1,2,NA,3,5,NA,0,0,NA,NA,NA,NA,NA,2,NA,4,20,2,6,5,5,5,8,8,8,1,5,5,8,2,2,3,2,NA,2,NA,0,0,0,0,0,0,1,0,0,0,0,0,11335,0,0,0,0,1,68,1,77,2,1,1,NA,BE10,BE10-3
2007,BE,711,590.128504672897,NA,2,2007,14,1,1930,2,2,3,BE,2,NA,3,5,NA,NA,NA,NA,3,4,55,12,0,NA,NA,13,1,NA,2,NA,NA,23,1,1,1,1,2,1,5,1,1,1,1,1,2,2,3,2,NA,2,NA,0,0,0,0,0,0,109,0,0,0,0,0,60861,0,0,0,0,1,71,1,76,3,1,1,NA,BE10,BE10-4
2007,BE,731,590.128504672897,NA,2,2007,7,2,1956,2,5,3,BE,2,5,5,9,NA,2,2,NA,3,NA,20,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,8,7,7,8,8,8,8,7,8,6,1,2,3,2,NA,2,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,73,1,50,1,1,1,NA,BE10,BE10-4
