PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL030,PL035,PL015,PL020,PL025,PL040,PL050,PL060,PL070,PL072,PL100,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PL210A,PL210B,PL210C,PL210D,PL210E,PL210F,PL210G,PL210H,PL210I,PL210J,PL210K,PL210L,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY070N,PY010G,PY020G,PY031G,PY035G,PY050G,PY070G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PX030,PX040,PY021G,PY030G,PX020,PX050,PX010,PL110,PL111,DB040,NR_ITW
2008,BE,201,621.985383678441,NA,3,2008,16,2,1953,1,2,1,Other,2,NA,3,2,NA,NA,2,NA,3,9,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,18,5,8,1,2,8,6,5,5,6,2,1,6,1,2,2,2,NA,2,NA,840,0,0,3346,118,1,0,0,0,0,0,0,0,0,0,0,1,20,1,0,2095,54,1,1,NA,h,BE10,BE10-4
2008,BE,261,621.985383678441,NA,2,2008,6,2,1953,1,5,3,BE,2,NA,3,1,1,NA,NA,NA,3,0 - 1,45,12,0,NA,NA,13,1,2,2,NA,NA,23,1,1,6,1,1,1,1,1,1,6,1,2,2,2,1,2,NA,2,NA,0,0,0,39590,1212,1,0,0,0,0,0,0,0,0,0,0,1,26,1,0,12585,54,6,1,n,o,BE10,BE10-4
2008,BE,341,621.985383678441,NA,2,2008,3,4,1947,1,5,1,BE,2,NA,5,9,NA,1,2,NA,3,2,NA,12,0,NA,NA,13,1,2,NA,NA,NA,17,2,1,5,1,6,2,6,6,6,2,8,8,3,2,3,2,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,8449,0,0,1,34,1,0,5073,60,1,1,NA,NA,BE10,BE10-2
2008,BE,401,621.985383678441,NA,2,2008,13,1,1961,1,1,3,BE,2,NA,1,9,NA,NA,1,NA,NA,9,NA,0,12,NA,NA,NA,NA,1,NA,NA,NA,NA,5,8,6,8,6,5,1,8,6,1,7,3,2,1,2,2,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,11180,0,0,1,40,1,0,0,46,1,1,NA,NA,BE10,BE10-2
2008,BE,471,621.985383678441,NA,2,2008,11,1,1972,1,1,3,EU,2,NA,3,1,NA,NA,NA,NA,3,9,50,12,0,NA,NA,13,1,2,2,NA,NA,27,1,1,5,1,1,1,1,1,1,1,6,1,3,2,3,2,NA,2,NA,0,0,0,38735,1084,1,0,0,0,0,0,0,0,0,0,0,1,47,1,0,6405,35,1,1,n,r-u,BE10,BE10-2
2008,BE,501,621.985383678441,NA,2,2008,11,2,1927,1,4,3,BE,2,NA,2,5,NA,1,NA,NA,3,5,NA,0,0,NA,NA,NA,1,2,NA,NA,NA,16,6,2,2,2,6,6,2,6,6,1,1,2,2,2,3,2,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,13432,0,0,0,0,1,50,1,0,0,80,7,1,l,NA,BE10,BE10-3
2008,BE,621,621.985383678441,NA,2,2008,44,1,1940,1,5,1,EU,2,NA,1,5,NA,1,1,NA,3,7,NA,0,12,NA,NA,NA,NA,2,2,NA,NA,NA,5,1,6,6,6,5,6,6,2,6,6,6,4,1,3,2,NA,2,NA,134,0,0,0,0,1,0,0,0,0,0,11425,0,0,0,0,1,62,1,0,0,67,5,1,NA,NA,BE10,BE10-2
2008,BE,691,621.985383678441,NA,2,2008,22,1,1928,2,4,3,BE,2,NA,3,5,NA,1,1,NA,NA,0 - 1,40,0,0,NA,NA,NA,1,NA,NA,NA,4,14,6,8,1,5,6,6,8,6,5,2,6,5,2,2,3,2,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,6230,0,0,0,0,1,69,1,0,0,79,5,1,NA,NA,BE10,BE10-2
2008,BE,721,621.985383678441,NA,4,2008,10,3,1935,2,4,1,BE,1,3,2,5,NA,2,2,NA,NA,9,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,8,7,6,8,8,8,NA,7,NA,7,7,7,1,2,3,2,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,72,1,0,0,72,7,1,NA,NA,BE10,BE10-3
2008,BE,741,621.985383678441,NA,4,2008,12,4,1927,1,4,1,BE,2,NA,2,5,NA,2,1,NA,2,0 - 1,NA,0,0,NA,3,NA,1,2,NA,NA,NA,14,5,5,2,6,6,1,5,6,5,2,6,6,2,2,3,2,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,11350,0,0,0,0,1,74,1,0,0,80,7,1,NA,NA,BE10,BE10-3
2008,BE,781,621.985383678441,NA,3,2008,NA,2,1949,2,2,1,BE,2,NA,5,5,1,NA,NA,NA,3,NA,40,12,0,NA,NA,3,1,NA,2,NA,NA,23,1,1,6,1,6,6,1,3,2,2,1,1,2,2,3,2,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,0,33656,0,0,0,1,78,1,0,0,58,1,1,c+d+e,NA,BE10,BE10-4
2008,BE,821,621.985383678441,NA,2,2008,26,1,1948,1,2,1,BE,2,NA,1,5,NA,NA,NA,NA,3,7,40,12,0,NA,NA,11,1,2,2,NA,NA,21,1,1,1,1,1,1,1,3,1,1,1,1,2,2,3,2,NA,2,NA,444,0,0,132702,0,1,0,0,0,0,9185,0,0,13301,0,0,1,82,1,0,0,59,7,1,NA,NA,BE10,BE10-4
2008,BE,1081,621.985383678441,NA,2,2008,22,1,1927,2,1,1,BE,2,NA,5,5,NA,NA,2,NA,NA,2,NA,0,6,NA,NA,9,NA,2,NA,NA,NA,57,6,6,5,6,6,8,8,6,5,5,6,6,2,2,3,2,NA,2,NA,1250,0,0,2094,0,1,0,0,0,0,0,6733,0,0,0,0,1,108,1,0,0,80,NA,1,m,NA,BE10,BE10-2
2008,BE,1331,621.985383678441,NA,2,2008,26,3,1931,2,2,1,BE,2,NA,5,5,NA,1,2,NA,2,3,NA,9,0,NA,5,NA,1,NA,NA,NA,4,18,5,8,5,3,6,6,6,6,6,6,6,8,2,2,1,2,NA,2,NA,1100,0,0,0,0,1,0,0,0,0,0,5098,0,0,0,0,1,133,1,0,0,76,1,1,k,NA,BE10,BE10-5
2008,BE,1491,621.985383678441,NA,4,2008,7,4,1954,1,2,1,BE,2,NA,2,1,1,NA,NA,NA,3,8,NA,0,0,NA,NA,13,1,2,2,NA,NA,21,1,1,3,1,1,3,1,2,8,1,1,1,2,2,3,2,NA,2,NA,0,0,0,0,0,1,0,64713,0,0,0,0,0,0,0,0,1,149,1,0,0,53,6,1,l,r-u,BE10,BE10-2
2008,BE,2091,621.985383678441,NA,4,2008,10,4,1967,2,2,3,BE,2,NA,5,1,1,NA,NA,NA,3,2,37,12,0,NA,NA,13,1,2,2,NA,10,19,1,1,3,2,1,1,1,3,1,1,1,1,2,2,3,2,NA,2,NA,0,0,0,0,0,1,0,29269,0,0,0,0,0,0,0,0,1,209,1,0,12616,40,7,1,NA,p,BE10,BE10-3
2008,BE,2281,621.985383678441,NA,3,2008,31,4,1930,1,4,3,BE,2,NA,2,5,1,NA,NA,NA,3,4,43,0,0,NA,NA,13,1,2,2,NA,NA,19,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,63033,0,0,0,0,1,228,1,0,13608,77,6,1,f,NA,BE10,BE10-4
2008,BE,2621,621.985383678441,NA,2,2008,25,1,1944,1,5,3,BE,2,NA,2,3,NA,NA,2,NA,NA,5,38,0,12,NA,NA,13,1,2,1,1,NA,16,2,1,1,8,6,6,6,6,6,6,2,6,2,2,2,2,NA,2,NA,0,0,0,0,0,1,0,0,0,0,14651,0,0,0,0,0,1,262,1,0,0,63,5,1,NA,NA,BE10,BE10-5
2008,BE,2811,621.985383678441,NA,2,2008,9,2,1971,1,1,1,BE,NA,NA,3,1,1,NA,NA,NA,1,9,38,12,0,NA,7,13,1,1,2,NA,NA,23,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,2,NA,2,NA,265,0,0,47289,1446,1,0,0,0,0,0,0,0,0,0,0,1,281,1,806,0,36,6,1,c+d+e,o,BE10,BE10-3
