PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL031,PL035,PL015,PL020,PL025,PL040,PL050,PL060,PL100,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PL210A,PL210B,PL210C,PL210D,PL210E,PL210F,PL210G,PL210H,PL210I,PL210J,PL210K,PL210L,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY010G,PY020G,PY021G,PY030G,PY031G,PY035G,PY050G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PA010,PA020,PA030,PA040,PA050,PA060,PA070,PA080,PA090,PA100,PA110,PA120,PA130,PA140,PA150,PA160,pl030,pl030_f,pl070,pl070_f,pl072,pl072_f,pl110_f,PY070N,PY070G,PX030,PX040,PL051,PX020,PX050,PX010,PL110,PL111,DB040,NR_ITW
2010,BE,211,644.117647058824,NA,2,2010,20,2,1929,1,1,1,BE,2,NA,0,7,NA,1,1,NA,3,9,NA,NA,6,NA,1,NA,NA,NA,NA,22,6,5,3,6,6,5,6,5,4,6,5,5,4,2,1,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,3535,0,0,0,0,21,1,5,1,2,NA,NA,NA,2,2,1,NA,49,NA,15,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,21,1,NA,80,2,1,NA,NA,BE10,BE10-2
2010,BE,271,644.117647058824,NA,2,2010,16,1,1987,2,1,1,BE,2,NA,3,5,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8,8,8,7,8,7,8,8,8,8,8,7,3,2,2,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,338,0,0,0,0,0,1,6,1,NA,NA,2,NA,2,NA,1,NA,36,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,27,1,NA,22,3,1,NA,NA,BE10,BE10-1
2010,BE,351,644.117647058824,NA,1,2010,10,1,1957,1,2,1,EU,2,NA,3,1,NA,NA,NA,NA,3,4,49,NA,NA,9,1,2,2,NA,NA,20,1,1,6,6,1,1,2,1,1,1,1,1,2,2,3,2,NA,2,NA,439,1,31036,580,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,1,NA,NA,2,2,2,2,1,NA,NA,27,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,35,1,NA,52,2,1,NA,o,BE10,BE10-4
2010,BE,411,644.117647058824,NA,2,2010,20,3,1934,2,4,1,EU,2,NA,0,10,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7,8,7,8,7,8,8,8,8,8,5,6,5,2,3,2,NA,2,NA,0,1,0,0,0,9596,1,0,0,0,0,0,0,0,0,0,1,6,1,NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,41,1,NA,75,7,1,NA,NA,BE10,BE10-2
2010,BE,481,644.117647058824,NA,2,2010,7,2,1990,1,1,1,Other,1,NA,2,6,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,7,7,7,8,8,7,7,7,7,7,7,8,2,1,2,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,NA,NA,NA,2,3,NA,1,NA,NA,NA,25,10,150,NA,NA,NA,NA,NA,NA,NA,NA,1,0,48,1,NA,19,5,1,NA,NA,BE10,BE10-3
2010,BE,521,644.117647058824,NA,2,2010,23,3,1977,1,2,1,BE,2,NA,3,2,NA,1,1,NA,3,4,NA,NA,NA,13,1,NA,NA,NA,NA,18,6,6,7,6,6,5,6,1,6,6,8,8,3,2,3,2,NA,2,NA,0,1,7376,0,0,7292,1,0,0,0,0,0,0,0,0,0,1,NA,1,NA,NA,2,NA,2,2,NA,NA,39,1,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,1,0,52,1,NA,32,7,1,NA,h,BE10,BE10-4
2010,BE,631,644.117647058824,NA,1,2010,18,2,1944,1,1,3,Other,2,NA,2,11,NA,2,2,1,NA,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,7,8,7,8,7,6,7,7,8,4,8,1,2,2,2,NA,2,NA,0,1,0,0,0,866,1,0,0,0,0,0,0,0,0,0,1,6,2,NA,NA,NA,4,NA,2,1,NA,44,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,63,1,NA,65,5,1,NA,NA,BE10,BE10-4
2010,BE,711,644.117647058824,NA,1,2010,2,3,1970,2,1,1,BE,2,NA,5,5,1,NA,NA,NA,3,3,NA,NA,NA,NA,1,2,NA,7,10,23,8,1,6,5,6,2,3,6,6,2,2,1,3,2,1,2,NA,2,NA,0,1,0,0,0,12170,1,0,0,0,17306,0,0,0,0,0,1,NA,NA,2,NA,NA,2,2,NA,1,NA,35,4,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,1,0,71,1,NA,39,7,1,NA,NA,BE10,BE10-5
2010,BE,741,644.117647058824,NA,2,2010,3,3,1960,1,2,1,BE,2,NA,3,3,1,2,NA,NA,NA,4,NA,NA,NA,NA,1,2,1,NA,NA,15,2,1,1,2,6,2,6,1,1,6,6,2,2,2,3,2,NA,2,NA,0,1,0,0,0,23514,1,0,20331,0,0,0,0,0,0,0,1,5,1,1,NA,NA,NA,2,NA,1,NA,14,NA,0,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,1,0,74,1,NA,49,2,1,NA,j,BE10,BE10-2
2010,BE,761,644.117647058824,NA,1,2010,20,3,1961,1,2,3,EU,2,NA,0,5,NA,NA,NA,NA,3,7,38,NA,NA,1,1,2,2,NA,NA,18,6,6,2,5,6,6,6,6,1,5,2,6,2,2,2,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,16728,0,0,0,0,0,1,5,1,2,NA,1,4,NA,2,1,NA,33,NA,30,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,1,0,76,1,NA,48,6,1,NA,NA,BE10,BE10-3
