PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL031,PL035,PL015,PL020,PL025,PL040,PL050,PL051,PL060,PL100,PL111,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY010G,PY020G,PY021G,PY030G,PY031G,PY035G,PY050G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PX010,PX020,PX030,PX040,PX050,PT005,PT010,PT020,PT030,PT040,PT050,PT060,PT070,PT080,PT090,PT100,PT110,PT120,PT130,PT140,PT150,PT160,PT170,PT180,PT190,PT200,PT210,DB040,NR_ITW
2011,BE,211,637.933094384707,NA,2,NA,8,4,1943,2,2,1,BE,2,NA,3,7,1,NA,NA,NA,3,41,3,NA,NA,NA,4,11,1,2,2,NA,NA,16,2,2,3,2,NA,2,NA,3760,1,0,0,0,13301,1,0,0,0,0,33407,0,0,0,0,1,1,67,21,1,3,0,1,2,NA,1,NA,1,1,1939,NA,1,1,1,1,NA,NA,1,NA,NA,5,NA,1,BE10,BE10-4
2011,BE,281,637.933094384707,NA,2,2011,3,1,1949,2,2,3,EU,2,NA,3,2,NA,NA,NA,NA,3,91,4,NA,NA,o,NA,NA,1,2,NA,NA,NA,39,5,2,1,1,NA,2,NA,0,1,3323,0,0,4180,1,0,0,0,0,0,0,0,0,0,1,1,61,28,1,6,0,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,0,NA,2,NA,NA,NA,NA,4,NA,1,BE10,BE10-2
2011,BE,361,637.933094384707,NA,3,2011,2,3,1962,2,2,1,BE,2,NA,5,5,1,NA,NA,NA,3,91,NA,36,NA,NA,NA,1,1,2,2,NA,NA,18,1,2,NA,2,NA,2,NA,200,1,26806,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,48,36,1,7,1419.951,1,6,2,2,1936,1,1,NA,1,1,2,1,2,2,NA,NA,2,NA,3,4,1,BE10,BE10-2
2011,BE,421,637.933094384707,NA,1,2011,19,1,1931,2,4,1,EU,2,NA,5,7,NA,NA,NA,NA,3,72,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,24,2,1,1,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,15803,0,0,0,0,1,1,79,42,1,2,0,1,2,2,1,NA,NA,NA,1929,NA,NA,NA,NA,1,NA,9,NA,NA,NA,NA,NA,1,BE10,BE10-1
2011,BE,491,637.933094384707,NA,2,2011,10,1,1958,1,2,3,BE,2,NA,1,8,1,1,NA,NA,3,41,5,NA,NA,NA,NA,NA,1,2,NA,NA,NA,16,4,2,2,1,NA,2,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10717,0,1,1,52,49,1,NA,1327.358,NA,NA,NA,NA,NA,NA,1,1942,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,BE10,BE10-2
2011,BE,531,637.933094384707,NA,2,2011,13,1,1948,2,4,3,BE,2,NA,3,1,1,1,NA,1,3,81,4,NA,NA,o,NA,NA,NA,NA,NA,NA,NA,14,5,2,3,2,NA,2,NA,3295,1,9593,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,62,53,1,7,0,3,NA,3,1,1951,1,NA,1926,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,4,1,BE10,BE10-1
2011,BE,641,637.933094384707,NA,1,2011,16,1,1963,1,2,2,Other,2,NA,5,1,NA,1,NA,NA,2,32,0 - 1,NA,NA,NA,NA,NA,1,2,NA,NA,10,24,NA,1,3,2,NA,2,NA,0,1,6671,108,0,0,1,0,0,0,0,0,0,0,0,0,1,1,47,64,1,2,0,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,2,5,1,NA,NA,4,NA,NA,BE10,BE10-5
2011,BE,721,637.933094384707,NA,2,2011,9,1,1930,1,1,NA,BE,2,NA,5,7,1,NA,NA,NA,3,91,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,24,2,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,16249,0,0,0,0,1,1,80,72,1,6,0,NA,NA,2,2,NA,1,4,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,2,4,NA,BE10,BE10-2
2011,BE,761,637.933094384707,NA,1,2011,8,3,1951,2,1,1,BE,1,NA,1,8,1,1,2,NA,3,93,5,NA,NA,NA,NA,10,1,NA,2,NA,NA,21,1,1,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10909,0,1,1,59,76,1,2,1197.961,NA,NA,1,2,NA,1,1,NA,NA,NA,1,NA,1,NA,6,5,NA,NA,NA,NA,NA,BE10,BE10-3
2011,BE,771,637.933094384707,NA,1,2011,2,3,1986,2,1,3,EU,2,NA,3,6,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,0,1,0,0,0,1301,1,0,0,0,0,0,0,0,0,0,1,1,24,77,1,7,1140.509,NA,NA,NA,NA,NA,NA,NA,1955,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5,NA,1,BE10,BE10-5
