"en","fr"
"Change language","Change de langue"
"Interviewer","Enquêteur·rice"
"Data","Données"
"List of directories","Liste des répertoires"
"Loading...","Chargement..."
"List of databases","Liste des bases de données"
"Database loading","Charger la base de données"
"Database filtering","Filtrer la base de données"
"Domain","Domaine"
"Zone","Zone"
"Parameters","Paramètres"
"Compare with","Comparer avec"
"Sensibility (sd)","Sensibilité (ec_type)"
"N valid (not missing) minimum","N valides (non missing)"
"Summary","Synthèse"
"Graphics","Graphiques"
"Changed Variables","Variables changées"
"Dis/Appeared Variables","Variables dis/apparues"
"Sensibility","Sensibilité"
"N rows","N rows"
"N valid (not missing)","N valid"
"Choose of rows and columns","Choix des lignes et colonnes"
"All","Tout"
"Risky rows","Lignes à risque"
"Risky columns","Colonnes à risque"
"Risky data","Données à risque"
"Table","Tableau"
"Heatmap","Heatmap"
"Anomalies by Variables and Interviewer","Anomalies par variable et enquêteur"
"Ranking of Interviewer","Classement des enquêteurs"
"Listing of variables","Liste des variables"
"Missings?","Missings?"
"Yes","Oui"
"No","Non"
"Show Distributions","Afficher distributions"
"Variables to show","Variables à afficher"
"Choice","Choix"
"Micro Data","Micro données"
"Distribution","Distribution"
"Comparaison","Comparaison"
"Distribution for","Distribution pour"
"Correlations for","Corrélation pour"
"Analysis of distribution of variable ","Analyse de la distribution de la variable"
"Interviewer position","Position de l'enquêteur·rice"
"Modality","Modalité"
"List of distributions","Liste des distributions"
"Proportion of","Proportion de"
"Density","Densité"
"10 First Correlations with","10 premières corrélations avec"
"Choose a interviewer.","Choisissez un·e enquêteur·rice"
"Choose a variable.","Choisissez une variable"
